,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.068,0.954,0.937,0.971,200,271.522,0.195,0.179
1,0.049,0.968,0.96,0.977,240,316.314,0.228,0.178
2,0.032,0.974,0.971,0.977,280,317.086,0.256,0.177
3,0.025,0.987,0.984,0.989,320,315.152,0.278,0.175
4,0.026,0.983,0.982,0.985,360,330.738,0.295,0.174
5,0.017,0.986,0.986,0.987,400,321.174,0.312,0.172
6,0.017,0.988,0.99,0.986,440,325.316,0.332,0.17
7,0.017,0.989,0.989,0.989,480,330.067,0.35,0.168
8,0.019,0.988,0.989,0.986,520,337.572,0.36,0.166
9,0.019,0.988,0.988,0.987,560,335.586,0.373,0.164
10,0.018,0.987,0.984,0.99,600,331.439,0.384,0.162
11,0.019,0.989,0.989,0.989,640,345.557,0.388,0.16
12,0.02,0.988,0.99,0.986,680,343.242,0.395,0.158
13,0.016,0.989,0.989,0.989,720,351.188,0.4,0.156
14,0.018,0.988,0.987,0.989,760,359.097,0.406,0.154
15,0.019,0.987,0.985,0.989,800,351.451,0.41,0.152
16,0.017,0.988,0.986,0.989,840,355.754,0.414,0.15
17,0.016,0.988,0.988,0.988,880,372.01,0.418,0.147
18,0.018,0.988,0.991,0.984,920,386.184,0.421,0.145
19,0.016,0.99,0.988,0.992,960,380.434,0.424,0.143
20,0.014,0.989,0.99,0.989,1000,377.482,0.427,0.141
