,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.046,0.97,0.953,0.988,200,200,272.767,0.49,0.171
1,0.025,0.984,0.991,0.977,280,240,310.303,0.469,0.168
2,0.017,0.989,0.99,0.989,360,280,313.775,0.475,0.165
3,0.014,0.989,0.992,0.986,440,320,327.676,0.475,0.161
4,0.018,0.99,0.992,0.987,520,360,327.564,0.478,0.157
5,0.015,0.99,0.995,0.985,600,400,324.822,0.481,0.153
6,0.016,0.989,0.992,0.986,680,440,326.716,0.484,0.149
7,0.014,0.991,0.992,0.99,760,480,342.427,0.486,0.145
8,0.016,0.989,0.991,0.988,840,520,344.87,0.489,0.14
9,0.015,0.989,0.992,0.985,920,560,343.592,0.489,0.136
10,0.015,0.989,0.987,0.99,1000,600,345.552,0.49,0.131
11,0.013,0.99,0.992,0.988,1080,640,354.625,0.491,0.127
12,0.012,0.99,0.991,0.989,1160,680,375.426,0.492,0.122
13,0.014,0.989,0.992,0.987,1240,720,363.208,0.492,0.117
14,0.012,0.989,0.991,0.987,1320,760,371.145,0.493,0.112
15,0.013,0.99,0.992,0.987,1400,800,372.474,0.493,0.107
16,0.013,0.989,0.992,0.987,1480,840,380.995,0.494,0.101
17,0.017,0.988,0.992,0.983,1560,880,382.465,0.494,0.096
18,0.011,0.99,0.99,0.99,1640,920,389.54,0.494,0.09
19,0.015,0.988,0.988,0.988,1720,960,404.101,0.495,0.084
20,0.013,0.99,0.994,0.986,1800,1000,403.679,0.495,0.079
