,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.068,0.954,0.937,0.971,200,246.708,0.195,0.179
1,0.039,0.975,0.968,0.981,240,279.211,0.215,0.178
2,0.037,0.977,0.966,0.988,280,289.462,0.245,0.177
3,0.027,0.981,0.986,0.977,320,288.355,0.256,0.176
4,0.02,0.986,0.987,0.984,360,294.559,0.289,0.174
5,0.018,0.987,0.989,0.985,400,295.862,0.319,0.172
6,0.015,0.988,0.987,0.989,440,305.68,0.342,0.169
7,0.016,0.989,0.99,0.987,480,302.568,0.354,0.168
8,0.015,0.989,0.991,0.987,520,299.295,0.366,0.166
9,0.016,0.989,0.99,0.988,560,312.497,0.375,0.164
10,0.016,0.989,0.99,0.988,600,314.563,0.383,0.162
11,0.017,0.988,0.989,0.986,640,313.636,0.391,0.16
12,0.018,0.989,0.989,0.988,680,320.101,0.398,0.158
13,0.014,0.988,0.989,0.987,720,320.91,0.404,0.155
14,0.015,0.988,0.987,0.989,760,328.885,0.409,0.153
15,0.018,0.988,0.989,0.988,800,325.596,0.413,0.151
16,0.016,0.99,0.987,0.992,840,326.692,0.417,0.149
17,0.018,0.989,0.989,0.989,880,326.045,0.421,0.147
18,0.015,0.989,0.991,0.987,920,331.221,0.425,0.145
19,0.019,0.987,0.985,0.989,960,345.284,0.428,0.143
20,0.017,0.988,0.989,0.986,1000,345.173,0.431,0.14
