,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.028,0.0,0.0,0.0,10,0.058,0.0,37.224
1,0.147,0.087,0.348,0.049,20,0.104,0.0,37.535
2,0.023,0.504,0.531,0.494,40,0.014,0.0,28.519
3,0.012,0.014,0.04,0.02,60,0.01,0.0,31.643
4,0.028,0.005,0.004,0.009,80,0.04,0.0,17.138
5,0.02,0.018,0.019,0.034,100,0.04,0.001,11.234
6,0.01,0.011,0.03,0.018,120,0.043,0.001,16.342
7,0.008,0.008,0.022,0.008,140,0.044,0.001,18.2
8,0.021,0.01,0.038,0.022,160,0.043,0.001,21.971
9,0.003,0.005,0.008,0.015,180,0.031,0.001,14.46
10,0.02,0.004,0.007,0.007,200,0.038,0.001,27.572
11,0.048,0.031,0.071,0.018,240,0.025,0.001,21.542
12,0.026,0.016,0.031,0.012,280,0.027,0.001,23.991
13,0.021,0.012,0.024,0.009,320,0.017,0.001,6.423
14,0.029,0.013,0.018,0.013,360,0.018,0.001,16.391
15,0.016,0.011,0.014,0.009,400,0.019,0.001,19.809
16,0.03,0.02,0.019,0.023,440,0.018,0.001,17.75
17,0.015,0.012,0.019,0.006,480,0.016,0.001,4.378
18,0.014,0.001,0.011,0.01,520,0.012,0.001,3.401
19,0.01,0.004,0.009,0.005,560,0.014,0.001,22.211
20,0.028,0.01,0.01,0.012,600,0.015,0.001,11.512
21,0.015,0.009,0.016,0.024,640,0.012,0.001,19.798
22,0.02,0.009,0.012,0.01,680,0.013,0.001,19.844
23,0.024,0.015,0.018,0.013,720,0.015,0.002,22.384
24,0.014,0.01,0.01,0.014,760,0.016,0.002,28.893
25,0.011,0.004,0.013,0.005,800,0.016,0.002,25.256
26,0.01,0.009,0.015,0.012,840,0.02,0.003,2.064
27,0.009,0.004,0.018,0.014,880,0.017,0.002,36.979
28,0.01,0.007,0.02,0.023,920,0.02,0.003,12.334
29,0.002,0.002,0.018,0.015,960,0.021,0.003,19.479
30,0.011,0.009,0.01,0.013,1000,0.017,0.003,22.135
31,0.01,0.003,0.009,0.007,1854,0.009,0.003,20.076
32,0.005,0.002,0.006,0.005,3708,0.004,0.004,10.924
33,0.003,0.001,0.001,0.003,7417,0.0,0.0,16.187
