,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.02,0.004,0.007,0.007,200,18.083,0.038,0.001
1,0.017,0.014,0.034,0.007,240,32.158,0.034,0.001
2,0.005,0.007,0.017,0.029,280,34.833,0.027,0.001
3,0.007,0.003,0.005,0.009,320,26.213,0.005,0.0
4,0.006,0.003,0.006,0.011,360,29.592,0.002,0.0
5,0.001,0.0,0.007,0.007,400,24.969,0.017,0.001
6,0.002,0.001,0.001,0.001,440,27.58,0.03,0.002
7,0.002,0.002,0.002,0.001,480,23.422,0.02,0.001
8,0.004,0.003,0.001,0.005,520,27.37,0.019,0.001
9,0.003,0.002,0.001,0.003,560,27.789,0.024,0.002
10,0.001,0.004,0.006,0.003,600,20.518,0.024,0.002
11,0.005,0.001,0.0,0.002,640,24.899,0.018,0.002
12,0.001,0.001,0.001,0.002,680,19.833,0.016,0.002
13,0.002,0.003,0.004,0.005,720,26.226,0.015,0.002
14,0.005,0.002,0.002,0.004,760,12.951,0.016,0.002
15,0.004,0.003,0.008,0.003,800,7.812,0.017,0.002
16,0.004,0.002,0.005,0.006,840,15.319,0.017,0.002
17,0.002,0.002,0.003,0.001,880,6.164,0.016,0.002
18,0.001,0.002,0.0,0.004,920,6.127,0.015,0.002
19,0.006,0.003,0.007,0.001,960,9.656,0.014,0.002
20,0.002,0.002,0.001,0.004,1000,8.447,0.014,0.002
