,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.016,0.0,0.0,0.0,0.0,0.0,10,30.447
1,0.147,0.08,0.577,0.043,0.0,0.0,20,25.187
2,0.027,0.008,0.028,0.018,0.0,0.0,40,32.828
3,0.035,0.021,0.05,0.015,0.0,0.0,60,30.046
4,0.019,0.026,0.047,0.001,0.0,0.0,80,23.615
5,0.03,0.029,0.013,0.045,0.0,0.0,100,25.859
6,0.035,0.039,0.084,0.02,0.0,0.0,120,26.716
7,0.014,0.014,0.01,0.033,0.0,0.0,140,22.293
8,0.012,0.007,0.015,0.002,0.0,0.0,160,33.891
9,0.016,0.018,0.012,0.024,0.0,0.0,180,33.846
10,0.009,0.006,0.016,0.008,0.0,0.0,200,36.811
11,0.013,0.009,0.016,0.004,0.0,0.0,240,32.313
12,0.03,0.024,0.01,0.047,0.0,0.0,280,33.043
13,0.008,0.011,0.009,0.02,0.0,0.0,320,38.148
14,0.031,0.025,0.006,0.05,0.0,0.0,360,31.377
15,0.001,0.005,0.008,0.002,0.0,0.0,400,31.979
16,0.005,0.002,0.004,0.001,0.0,0.0,440,45.591
17,0.002,0.0,0.004,0.004,0.0,0.0,480,26.995
18,0.005,0.002,0.004,0.001,0.0,0.0,520,36.75
19,0.002,0.001,0.001,0.004,0.0,0.0,560,39.583
20,0.005,0.003,0.008,0.005,0.0,0.0,600,33.06
21,0.002,0.001,0.0,0.002,0.0,0.0,640,34.496
22,0.005,0.005,0.013,0.002,0.0,0.0,680,30.883
23,0.007,0.001,0.003,0.001,0.0,0.0,720,32.998
24,0.001,0.002,0.006,0.002,0.0,0.0,760,24.137
25,0.001,0.004,0.007,0.002,0.0,0.0,800,28.562
26,0.001,0.002,0.005,0.001,0.0,0.0,840,25.871
27,0.0,0.004,0.009,0.001,0.0,0.0,880,25.593
28,0.003,0.004,0.009,0.004,0.0,0.0,920,18.521
29,0.001,0.001,0.003,0.005,0.0,0.0,960,20.162
30,0.004,0.006,0.003,0.009,0.0,0.0,1000,20.476
