,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.02,0.004,0.007,0.007,200,13.992,0.038,0.001
1,0.004,0.004,0.015,0.011,240,30.454,0.029,0.001
2,0.018,0.01,0.022,0.003,280,18.319,0.046,0.002
3,0.004,0.006,0.005,0.01,320,25.205,0.008,0.0
4,0.004,0.005,0.002,0.012,360,24.367,0.023,0.001
5,0.003,0.003,0.003,0.009,400,32.67,0.015,0.001
6,0.0,0.002,0.003,0.001,440,17.763,0.012,0.001
7,0.002,0.001,0.001,0.001,480,18.225,0.012,0.001
8,0.001,0.002,0.0,0.003,520,20.862,0.011,0.001
9,0.002,0.001,0.001,0.001,560,26.908,0.009,0.001
10,0.0,0.001,0.001,0.001,600,21.783,0.009,0.001
11,0.002,0.001,0.0,0.002,640,22.603,0.009,0.001
12,0.001,0.001,0.001,0.001,680,32.015,0.009,0.001
13,0.002,0.001,0.002,0.005,720,19.015,0.008,0.001
14,0.0,0.003,0.005,0.001,760,12.822,0.008,0.001
15,0.001,0.002,0.0,0.003,800,27.916,0.007,0.001
16,0.002,0.001,0.003,0.003,840,26.267,0.007,0.001
17,0.001,0.001,0.001,0.002,880,24.384,0.007,0.001
18,0.002,0.001,0.0,0.001,920,18.208,0.006,0.001
19,0.003,0.003,0.006,0.0,960,21.862,0.006,0.001
20,0.001,0.001,0.001,0.002,1000,4.479,0.006,0.001
