,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.02,0.004,0.007,0.007,200,200,30.495,0.038,0.001
1,0.021,0.011,0.026,0.015,280,240,32.374,0.027,0.001
2,0.002,0.001,0.003,0.002,360,280,37.315,0.018,0.001
3,0.003,0.002,0.002,0.005,440,320,21.125,0.013,0.001
4,0.003,0.002,0.002,0.002,520,360,30.431,0.0,0.0
5,0.006,0.003,0.005,0.003,600,400,26.713,0.003,0.0
6,0.0,0.0,0.004,0.004,680,440,35.189,0.0,0.0
7,0.004,0.002,0.003,0.002,760,480,26.506,0.001,0.0
8,0.002,0.002,0.003,0.001,840,520,8.045,0.001,0.0
9,0.002,0.003,0.006,0.001,920,560,13.26,0.001,0.0
10,0.006,0.003,0.004,0.003,1000,600,19.857,0.001,0.0
11,0.003,0.001,0.003,0.001,1080,640,14.977,0.001,0.0
12,0.002,0.001,0.003,0.003,1160,680,10.831,0.001,0.0
13,0.002,0.001,0.001,0.003,1240,720,16.602,0.002,0.0
14,0.002,0.001,0.001,0.001,1320,760,12.08,0.001,0.0
15,0.001,0.001,0.001,0.002,1400,800,20.556,0.001,0.0
16,0.002,0.003,0.003,0.002,1480,840,13.237,0.001,0.0
17,0.003,0.001,0.003,0.001,1560,880,32.366,0.001,0.0
18,0.003,0.001,0.003,0.002,1640,920,9.939,0.001,0.0
19,0.004,0.003,0.002,0.005,1720,960,28.108,0.001,0.0
20,0.005,0.002,0.003,0.001,1800,1000,20.243,0.001,0.0
