,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.143,0.903,0.914,0.897,200,404.976,0.168,0.186
1,0.117,0.927,0.914,0.942,240,467.255,0.219,0.186
2,0.113,0.931,0.936,0.927,280,464.434,0.25,0.185
3,0.094,0.938,0.917,0.96,320,462.283,0.288,0.184
4,0.105,0.932,0.912,0.953,360,467.912,0.307,0.184
5,0.097,0.939,0.926,0.953,400,469.405,0.318,0.183
6,0.101,0.939,0.937,0.942,440,483.688,0.333,0.182
7,0.098,0.943,0.942,0.945,480,487.089,0.353,0.181
8,0.105,0.943,0.94,0.947,520,491.241,0.362,0.181
9,0.101,0.944,0.932,0.955,560,483.652,0.373,0.18
10,0.107,0.942,0.947,0.937,600,481.748,0.379,0.179
11,0.102,0.94,0.937,0.943,640,491.476,0.39,0.178
12,0.102,0.943,0.94,0.945,680,503.541,0.395,0.178
13,0.095,0.943,0.944,0.942,720,508.823,0.397,0.177
14,0.111,0.941,0.948,0.935,760,496.844,0.4,0.176
15,0.099,0.945,0.942,0.948,800,491.253,0.406,0.175
16,0.106,0.944,0.943,0.946,840,496.34,0.409,0.175
17,0.095,0.943,0.94,0.947,880,507.73,0.412,0.174
18,0.104,0.943,0.946,0.94,920,518.269,0.416,0.173
19,0.096,0.948,0.938,0.958,960,502.187,0.421,0.172
20,0.101,0.942,0.944,0.94,1000,506.977,0.424,0.172
