,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.143,0.903,0.914,0.897,200,373.066,0.168,0.186
1,0.1,0.93,0.938,0.921,240,445.063,0.221,0.186
2,0.118,0.922,0.932,0.913,280,447.33,0.28,0.185
3,0.093,0.937,0.946,0.929,320,444.551,0.307,0.184
4,0.102,0.935,0.935,0.937,360,447.502,0.35,0.183
5,0.096,0.938,0.939,0.938,400,456.578,0.368,0.182
6,0.099,0.937,0.932,0.942,440,445.268,0.38,0.181
7,0.093,0.945,0.936,0.955,480,463.382,0.39,0.18
8,0.096,0.941,0.932,0.951,520,461.597,0.394,0.18
9,0.092,0.945,0.953,0.937,560,448.606,0.396,0.179
10,0.09,0.946,0.952,0.94,600,454.181,0.414,0.178
11,0.092,0.934,0.909,0.962,640,454.566,0.422,0.177
12,0.091,0.949,0.939,0.959,680,470.832,0.419,0.177
13,0.084,0.947,0.942,0.952,720,480.705,0.424,0.176
14,0.102,0.944,0.949,0.94,760,478.991,0.425,0.175
15,0.089,0.944,0.945,0.943,800,457.118,0.43,0.174
16,0.1,0.945,0.937,0.955,840,475.676,0.434,0.173
17,0.087,0.949,0.946,0.952,880,479.056,0.434,0.173
18,0.081,0.947,0.953,0.94,920,488.662,0.43,0.172
19,0.089,0.949,0.945,0.953,960,480.653,0.435,0.171
20,0.091,0.95,0.943,0.957,1000,480.021,0.433,0.171
