,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.017,0.009,0.045,0.053,200,25.187,0.016,0.0
1,0.015,0.007,0.033,0.026,240,18.02,0.019,0.0
2,0.02,0.005,0.014,0.019,280,11.414,0.028,0.0
3,0.03,0.005,0.018,0.009,320,13.458,0.024,0.0
4,0.004,0.006,0.023,0.013,360,4.143,0.02,0.0
5,0.012,0.004,0.002,0.008,400,15.791,0.018,0.0
6,0.008,0.004,0.005,0.004,440,18.119,0.018,0.0
7,0.012,0.003,0.006,0.011,480,13.438,0.012,0.0
8,0.004,0.003,0.006,0.01,520,12.534,0.008,0.0
9,0.007,0.002,0.012,0.009,560,18.774,0.007,0.0
10,0.025,0.004,0.016,0.023,600,18.614,0.015,0.001
11,0.012,0.007,0.017,0.019,640,27.065,0.012,0.0
12,0.005,0.004,0.012,0.018,680,38.491,0.013,0.001
13,0.013,0.004,0.011,0.014,720,31.423,0.008,0.0
14,0.021,0.005,0.009,0.013,760,2.222,0.004,0.0
15,0.011,0.005,0.006,0.008,800,10.942,0.005,0.0
16,0.007,0.004,0.007,0.011,840,15.5,0.007,0.0
17,0.004,0.002,0.002,0.004,880,3.798,0.011,0.001
18,0.008,0.001,0.006,0.005,920,9.218,0.008,0.0
19,0.008,0.003,0.008,0.009,960,3.437,0.01,0.001
20,0.01,0.006,0.011,0.022,1000,6.261,0.012,0.001
