,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.012,0.006,0.006,0.008,200,200,27.711,0.0,0.0
1,0.019,0.009,0.011,0.028,280,240,27.699,0.02,0.0
2,0.007,0.003,0.009,0.015,360,280,36.687,0.004,0.0
3,0.01,0.007,0.003,0.017,440,320,30.83,0.009,0.0
4,0.01,0.004,0.002,0.009,520,360,38.997,0.005,0.0
5,0.005,0.004,0.005,0.004,600,400,40.576,0.004,0.0
6,0.01,0.004,0.012,0.016,680,440,34.225,0.005,0.0
7,0.004,0.003,0.013,0.01,760,480,21.395,0.005,0.0
8,0.015,0.007,0.009,0.006,840,520,23.172,0.01,0.001
9,0.016,0.006,0.006,0.01,920,560,33.237,0.012,0.001
10,0.015,0.006,0.011,0.003,1000,600,35.969,0.008,0.001
11,0.005,0.003,0.001,0.006,1080,640,22.057,0.001,0.0
12,0.004,0.002,0.007,0.003,1160,680,23.836,0.002,0.0
13,0.005,0.0,0.003,0.003,1240,720,26.113,0.004,0.0
14,0.001,0.004,0.001,0.008,1320,760,14.455,0.002,0.0
15,0.009,0.0,0.003,0.003,1400,800,29.954,0.003,0.0
16,0.003,0.004,0.007,0.007,1480,840,27.904,0.005,0.0
17,0.006,0.002,0.001,0.004,1560,880,43.867,0.002,0.0
18,0.003,0.003,0.008,0.005,1640,920,37.727,0.001,0.0
19,0.009,0.003,0.01,0.005,1720,960,35.153,0.003,0.0
20,0.006,0.005,0.007,0.007,1800,1000,26.187,0.004,0.0
