,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.328,0.258,0.356,0.223,200.0,305.326,0.083,0.094
1,0.324,0.477,0.653,0.396,266.667,339.402,0.129,0.092
2,0.207,0.723,0.759,0.693,346.667,345.008,0.207,0.087
3,0.168,0.765,0.795,0.743,426.667,361.42,0.256,0.082
4,0.174,0.801,0.786,0.819,506.667,350.952,0.294,0.076
5,0.164,0.814,0.8,0.831,586.667,351.659,0.309,0.071
6,0.165,0.819,0.849,0.793,666.667,371.537,0.322,0.066
7,0.143,0.829,0.851,0.808,746.667,366.814,0.34,0.06
8,0.14,0.842,0.865,0.824,826.667,368.73,0.352,0.054
9,0.139,0.841,0.856,0.827,906.667,381.553,0.364,0.047
10,0.134,0.851,0.869,0.834,986.667,387.117,0.367,0.041
