,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.326,0.603,0.526,0.715,200.0,200.0,300.062,0.455,0.082
1,0.31,0.619,0.582,0.699,280.0,240.0,323.99,0.429,0.078
2,0.268,0.652,0.662,0.649,360.0,280.0,331.455,0.412,0.074
3,0.208,0.73,0.759,0.708,440.0,320.0,330.992,0.41,0.069
4,0.166,0.794,0.788,0.807,520.0,360.0,343.322,0.41,0.065
5,0.184,0.759,0.766,0.758,600.0,400.0,342.83,0.414,0.059
6,0.162,0.802,0.791,0.82,680.0,440.0,347.373,0.415,0.054
7,0.137,0.833,0.852,0.815,760.0,480.0,357.111,0.419,0.048
8,0.146,0.838,0.85,0.827,840.0,520.0,357.552,0.422,0.042
9,0.129,0.842,0.857,0.827,920.0,560.0,359.683,0.424,0.036
10,0.143,0.834,0.864,0.807,1000.0,600.0,369.617,0.428,0.029
11,0.142,0.841,0.858,0.826,1080.0,640.0,382.79,0.429,0.022
12,0.143,0.847,0.847,0.85,1160.0,680.0,376.648,0.43,0.015
13,0.141,0.848,0.839,0.858,1240.0,720.0,376.428,0.427,0.01
14,0.123,0.867,0.902,0.836,1314.0,757.0,383.144,0.416,0.007
15,0.12,0.879,0.911,0.85,1360.667,780.333,387.702,0.403,0.007
16,0.132,0.87,0.893,0.848,1412.667,806.333,394.141,0.391,0.007
17,0.125,0.878,0.898,0.86,1460.0,830.0,391.231,0.379,0.006
18,0.121,0.88,0.892,0.869,1502.667,851.333,407.908,0.37,0.006
19,0.125,0.87,0.882,0.858,1546.0,873.0,401.582,0.36,0.006
20,0.131,0.873,0.886,0.86,1594.667,897.333,408.632,0.351,0.005
