,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.328,0.258,0.356,0.223,200.0,284.506,0.083,0.094
1,0.364,0.404,0.57,0.33,233.333,302.688,0.117,0.093
2,0.252,0.629,0.679,0.603,273.333,311.303,0.155,0.091
3,0.256,0.626,0.66,0.639,313.333,312.176,0.193,0.088
4,0.334,0.411,0.473,0.37,353.333,309.999,0.21,0.087
5,0.185,0.716,0.789,0.663,393.333,316.429,0.224,0.085
6,0.159,0.762,0.749,0.781,433.333,327.581,0.241,0.083
7,0.247,0.488,0.611,0.449,473.333,331.663,0.247,0.081
8,0.159,0.804,0.803,0.807,513.333,328.859,0.263,0.078
9,0.185,0.785,0.743,0.832,553.333,328.107,0.267,0.077
10,0.143,0.826,0.811,0.843,593.333,336.933,0.272,0.075
11,0.225,0.544,0.545,0.544,633.333,336.74,0.268,0.074
12,0.145,0.809,0.829,0.796,666.667,340.662,0.277,0.072
13,0.126,0.847,0.87,0.826,706.667,345.843,0.283,0.069
14,0.247,0.542,0.562,0.523,746.667,343.333,0.296,0.066
15,0.135,0.809,0.787,0.832,780.0,343.479,0.306,0.063
16,0.148,0.819,0.839,0.803,820.0,345.204,0.305,0.061
17,0.23,0.545,0.537,0.554,860.0,349.983,0.309,0.059
18,0.227,0.549,0.555,0.546,893.333,348.785,0.306,0.058
19,0.21,0.695,0.668,0.756,926.667,335.804,0.306,0.056
20,0.216,0.572,0.585,0.56,966.667,354.861,0.305,0.054
