,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.028,0.231,0.321,0.223,200.0,13.445,0.008,0.0
1,0.143,0.154,0.268,0.097,233.333,16.958,0.014,0.001
2,0.147,0.296,0.261,0.303,273.333,2.989,0.028,0.001
3,0.104,0.111,0.144,0.098,313.333,19.73,0.032,0.002
4,0.027,0.029,0.113,0.041,353.333,26.163,0.024,0.002
5,0.04,0.054,0.127,0.169,393.333,29.783,0.021,0.002
6,0.068,0.105,0.014,0.16,433.333,31.442,0.01,0.001
7,0.054,0.05,0.077,0.036,473.333,11.223,0.011,0.001
8,0.026,0.03,0.077,0.094,513.333,9.404,0.002,0.0
9,0.01,0.016,0.024,0.008,553.333,0.591,0.01,0.0
10,0.012,0.015,0.05,0.032,593.333,10.746,0.012,0.001
11,0.014,0.015,0.03,0.003,633.333,13.824,0.006,0.0
12,0.029,0.031,0.064,0.02,673.333,10.037,0.008,0.001
13,0.023,0.031,0.062,0.016,713.333,9.154,0.012,0.001
14,0.005,0.006,0.02,0.014,753.333,8.712,0.012,0.001
15,0.013,0.018,0.004,0.034,793.333,6.174,0.009,0.001
16,0.016,0.015,0.011,0.024,833.333,6.995,0.003,0.0
17,0.024,0.032,0.06,0.019,873.333,20.951,0.002,0.0
18,0.003,0.017,0.018,0.036,913.333,4.546,0.002,0.0
19,0.005,0.012,0.005,0.022,953.333,8.84,0.002,0.001
20,0.013,0.013,0.03,0.006,993.333,3.478,0.002,0.001
