,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.106,0.0,0.0,0.0,0.0,0.0,10,9.552
1,0.018,0.0,0.0,0.0,0.0,0.0,20,8.136
2,0.111,0.023,0.385,0.012,0.0,0.0,40,5.494
3,0.028,0.006,0.01,0.023,0.0,0.0,60,4.542
4,0.037,0.008,0.155,0.143,0.0,0.0,80,11.544
5,0.171,0.068,0.104,0.091,0.0,0.0,100,10.746
6,0.05,0.034,0.068,0.073,0.0,0.0,120,6.646
7,0.076,0.039,0.089,0.089,0.0,0.0,140,9.735
8,0.131,0.044,0.097,0.119,0.0,0.0,160,15.803
9,0.075,0.035,0.098,0.068,0.0,0.0,180,18.271
10,0.071,0.069,0.097,0.055,0.0,0.0,200,6.701
11,0.015,0.01,0.041,0.071,0.0,0.0,240,9.297
12,0.054,0.005,0.07,0.103,0.0,0.0,280,12.959
13,0.019,0.032,0.049,0.083,0.0,0.0,320,11.191
14,0.104,0.038,0.033,0.049,0.0,0.0,360,14.402
15,0.035,0.041,0.056,0.012,0.0,0.0,400,19.612
16,0.058,0.048,0.077,0.009,0.0,0.0,440,10.758
17,0.077,0.041,0.081,0.036,0.0,0.0,480,12.618
18,0.022,0.019,0.03,0.006,0.0,0.0,520,17.23
19,0.04,0.018,0.025,0.008,0.0,0.0,560,6.608
20,0.08,0.048,0.063,0.003,0.0,0.0,600,4.025
21,0.04,0.034,0.051,0.008,0.0,0.0,640,8.072
22,0.024,0.021,0.042,0.023,0.0,0.0,680,6.488
23,0.06,0.041,0.061,0.016,0.0,0.0,720,7.443
24,0.069,0.05,0.078,0.023,0.0,0.0,760,12.467
25,0.011,0.009,0.018,0.008,0.0,0.0,800,9.618
26,0.05,0.067,0.12,0.011,0.0,0.0,840,11.129
27,0.027,0.027,0.042,0.006,0.0,0.0,880,13.528
28,0.037,0.038,0.072,0.016,0.0,0.0,920,11.808
29,0.05,0.031,0.048,0.0,0.0,0.0,960,4.53
30,0.047,0.03,0.047,0.009,0.0,0.0,1000,10.872
