,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.498,0.0,0.0,0.0,10,0.033,0.107,421.142
1,0.434,0.0,0.0,0.0,20,0.083,0.107,427.187
2,0.345,0.0,0.0,0.0,40,0.1,0.107,432.722
3,0.368,0.0,0.0,0.0,60,0.1,0.107,425.258
4,0.409,0.003,0.028,0.002,80,0.096,0.107,419.803
5,0.383,0.046,0.222,0.026,100,0.103,0.107,430.128
6,0.364,0.043,0.132,0.026,120,0.097,0.107,446.759
7,0.483,0.159,0.426,0.099,140,0.107,0.107,425.054
8,0.307,0.318,0.482,0.238,160,0.11,0.107,433.731
9,0.408,0.337,0.605,0.244,180,0.107,0.107,433.757
10,0.32,0.497,0.605,0.435,200,0.103,0.107,444.414
11,0.354,0.354,0.478,0.286,240,0.1,0.108,458.072
12,0.371,0.444,0.72,0.335,280,0.102,0.108,455.639
13,0.272,0.635,0.776,0.542,320,0.102,0.108,451.552
14,0.208,0.737,0.814,0.676,360,0.106,0.107,448.162
15,0.279,0.625,0.775,0.534,400,0.102,0.108,456.637
16,0.239,0.703,0.809,0.623,440,0.102,0.108,458.291
17,0.255,0.669,0.714,0.631,480,0.098,0.108,468.756
18,0.21,0.765,0.822,0.718,520,0.099,0.108,477.497
19,0.219,0.746,0.776,0.718,560,0.103,0.108,468.328
20,0.213,0.763,0.826,0.715,600,0.103,0.108,478.385
21,0.274,0.666,0.763,0.607,640,0.102,0.108,480.792
22,0.22,0.759,0.774,0.757,680,0.103,0.108,480.175
23,0.196,0.748,0.797,0.707,720,0.104,0.108,483.373
24,0.201,0.773,0.806,0.744,760,0.104,0.108,503.663
25,0.199,0.801,0.817,0.788,800,0.106,0.107,496.167
26,0.247,0.532,0.565,0.503,840,0.105,0.108,501.987
27,0.198,0.806,0.844,0.772,880,0.105,0.108,504.063
28,0.171,0.813,0.842,0.786,920,0.105,0.108,510.72
29,0.183,0.823,0.845,0.803,960,0.106,0.107,510.868
30,0.154,0.833,0.87,0.801,1000,0.106,0.108,511.236
31,0.192,0.825,0.873,0.783,1435,0.106,0.108,547.523
32,0.124,0.884,0.89,0.877,2871,0.105,0.11,672.758
33,0.113,0.894,0.901,0.887,5743,0.107,0.107,894.687
