,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.32,0.497,0.605,0.435,200.0,344.542,0.103,0.107
1,0.303,0.443,0.482,0.409,240.0,393.019,0.156,0.105
2,0.269,0.64,0.804,0.552,273.333,394.895,0.193,0.103
3,0.235,0.749,0.826,0.699,313.333,395.584,0.241,0.1
4,0.217,0.767,0.834,0.722,353.333,399.98,0.266,0.097
5,0.21,0.772,0.858,0.702,393.333,400.542,0.293,0.094
6,0.168,0.818,0.874,0.77,433.333,402.72,0.315,0.09
7,0.166,0.825,0.866,0.791,473.333,412.345,0.331,0.087
8,0.162,0.832,0.851,0.816,513.333,410.045,0.347,0.084
9,0.172,0.829,0.857,0.807,553.333,414.254,0.358,0.081
10,0.159,0.84,0.888,0.796,593.333,415.968,0.361,0.078
11,0.153,0.853,0.903,0.809,633.333,420.818,0.367,0.075
12,0.153,0.856,0.905,0.812,673.333,419.478,0.369,0.072
13,0.15,0.854,0.893,0.82,713.333,425.517,0.378,0.069
14,0.135,0.87,0.908,0.837,753.333,432.017,0.381,0.066
15,0.13,0.869,0.914,0.83,793.333,427.545,0.385,0.063
16,0.157,0.868,0.909,0.832,833.333,428.757,0.392,0.059
17,0.126,0.873,0.901,0.848,873.333,445.815,0.394,0.056
18,0.139,0.869,0.897,0.843,913.333,452.722,0.397,0.053
19,0.123,0.886,0.908,0.864,953.333,452.424,0.399,0.049
20,0.104,0.888,0.914,0.862,993.333,456.597,0.401,0.046
