,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.046,0.299,0.311,0.29,200.0,11.969,0.013,0.0
1,0.048,0.383,0.418,0.355,240.0,8.266,0.013,0.001
2,0.063,0.117,0.128,0.167,273.333,8.324,0.017,0.001
3,0.04,0.052,0.073,0.12,313.333,4.222,0.008,0.0
4,0.061,0.046,0.063,0.117,353.333,2.998,0.014,0.001
5,0.026,0.018,0.013,0.037,393.333,11.773,0.02,0.001
6,0.005,0.005,0.042,0.024,433.333,4.792,0.02,0.001
7,0.024,0.016,0.049,0.05,473.333,13.573,0.026,0.002
8,0.024,0.012,0.017,0.035,513.333,7.624,0.021,0.002
9,0.013,0.005,0.061,0.049,553.333,7.328,0.02,0.002
10,0.007,0.007,0.011,0.017,593.333,9.044,0.013,0.001
11,0.021,0.009,0.026,0.006,633.333,11.407,0.015,0.001
12,0.003,0.006,0.011,0.015,673.333,11.55,0.013,0.001
13,0.003,0.011,0.045,0.022,713.333,9.82,0.012,0.001
14,0.024,0.008,0.023,0.02,753.333,10.196,0.012,0.001
15,0.009,0.009,0.025,0.034,793.333,0.939,0.011,0.001
16,0.004,0.009,0.021,0.027,833.333,7.942,0.013,0.001
17,0.013,0.012,0.016,0.03,873.333,12.083,0.009,0.001
18,0.016,0.015,0.01,0.032,913.333,31.206,0.013,0.002
19,0.026,0.011,0.012,0.015,953.333,34.339,0.015,0.002
20,0.003,0.011,0.011,0.012,993.333,22.131,0.016,0.002
