,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.079,0.0,0.0,0.0,0.0,0.0,10,3.468
1,0.019,0.0,0.0,0.0,0.0,0.0,20,16.935
2,0.002,0.0,0.0,0.0,0.0,0.0,40,11.825
3,0.01,0.0,0.0,0.0,0.0,0.0,60,13.709
4,0.016,0.0,0.0,0.0,0.0,0.0,80,8.782
5,0.015,0.11,0.226,0.076,0.0,0.0,100,7.773
6,0.087,0.17,0.208,0.146,0.0,0.0,120,3.05
7,0.134,0.148,0.224,0.09,0.0,0.0,140,13.045
8,0.046,0.099,0.052,0.128,0.0,0.0,160,3.365
9,0.031,0.069,0.076,0.146,0.0,0.0,180,3.615
10,0.051,0.124,0.048,0.17,0.0,0.0,200,6.287
11,0.046,0.041,0.024,0.094,0.0,0.0,240,10.085
12,0.004,0.014,0.051,0.036,0.0,0.0,280,6.065
13,0.036,0.039,0.017,0.059,0.0,0.0,320,7.309
14,0.014,0.005,0.041,0.049,0.0,0.0,360,8.889
15,0.011,0.019,0.024,0.017,0.0,0.0,400,5.864
16,0.023,0.026,0.013,0.063,0.0,0.0,440,10.61
17,0.014,0.014,0.007,0.022,0.0,0.0,480,5.799
18,0.024,0.014,0.043,0.018,0.0,0.0,520,13.877
19,0.008,0.022,0.067,0.026,0.0,0.0,560,7.988
20,0.015,0.005,0.025,0.015,0.0,0.0,600,14.748
21,0.03,0.009,0.029,0.027,0.0,0.0,640,7.12
22,0.017,0.005,0.017,0.012,0.0,0.0,680,5.595
23,0.006,0.006,0.018,0.018,0.0,0.0,720,2.269
24,0.035,0.024,0.061,0.015,0.0,0.0,760,6.79
25,0.01,0.015,0.015,0.017,0.0,0.0,800,7.128
26,0.004,0.021,0.048,0.018,0.0,0.0,840,1.288
27,0.013,0.011,0.011,0.03,0.0,0.0,880,8.205
28,0.023,0.007,0.024,0.025,0.0,0.0,920,8.821
29,0.008,0.016,0.028,0.007,0.0,0.0,960,10.377
30,0.029,0.008,0.029,0.022,0.0,0.0,1000,1.728
