,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.046,0.299,0.311,0.29,200.0,13.6,0.013,0.0
1,0.05,0.157,0.211,0.124,240.0,15.657,0.019,0.001
2,0.031,0.026,0.046,0.022,280.0,11.111,0.034,0.002
3,0.01,0.007,0.053,0.043,320.0,3.369,0.034,0.002
4,0.044,0.075,0.029,0.113,360.0,13.984,0.046,0.003
5,0.025,0.032,0.053,0.083,400.0,7.082,0.021,0.002
6,0.014,0.013,0.035,0.005,440.0,4.72,0.001,0.0
7,0.025,0.033,0.038,0.041,480.0,8.176,0.01,0.001
8,0.03,0.022,0.01,0.039,520.0,4.042,0.004,0.0
9,0.022,0.021,0.047,0.075,560.0,6.755,0.01,0.001
10,0.218,0.498,0.524,0.475,600.0,7.661,0.007,0.001
11,0.002,0.011,0.017,0.005,633.333,13.4,0.009,0.002
12,0.261,0.52,0.549,0.494,673.333,9.709,0.011,0.002
13,0.274,0.504,0.507,0.505,706.667,1.849,0.01,0.002
14,0.004,0.005,0.03,0.034,740.0,15.56,0.014,0.002
15,0.244,0.508,0.53,0.488,780.0,6.559,0.021,0.003
16,0.018,0.014,0.029,0.008,813.333,3.835,0.021,0.004
17,0.022,0.031,0.009,0.063,853.333,11.376,0.019,0.004
18,0.27,0.513,0.518,0.509,893.333,14.959,0.019,0.004
19,0.259,0.513,0.54,0.488,926.667,11.351,0.02,0.005
20,0.015,0.017,0.037,0.015,953.333,9.633,0.024,0.007
