,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.046,0.299,0.311,0.29,200.0,200.0,4.346,0.013,0.0
1,0.017,0.036,0.059,0.022,280.0,240.0,9.938,0.036,0.002
2,0.026,0.022,0.084,0.02,360.0,280.0,3.306,0.031,0.002
3,0.013,0.008,0.025,0.029,440.0,320.0,13.588,0.028,0.002
4,0.01,0.025,0.046,0.01,520.0,360.0,10.809,0.022,0.002
5,0.012,0.014,0.076,0.048,600.0,400.0,17.337,0.026,0.003
6,0.03,0.028,0.041,0.02,680.0,440.0,8.783,0.023,0.003
7,0.011,0.015,0.013,0.017,760.0,480.0,5.694,0.018,0.003
8,0.007,0.004,0.022,0.017,840.0,520.0,11.818,0.016,0.003
9,0.012,0.017,0.024,0.013,920.0,560.0,13.376,0.014,0.003
10,0.005,0.013,0.013,0.02,1000.0,600.0,19.835,0.015,0.003
11,0.004,0.01,0.016,0.015,1080.0,640.0,19.852,0.01,0.002
12,0.006,0.009,0.029,0.01,1160.0,680.0,6.275,0.013,0.003
13,0.019,0.007,0.015,0.006,1240.0,720.0,14.582,0.017,0.005
14,0.007,0.014,0.003,0.026,1320.0,760.0,8.932,0.017,0.005
15,0.004,0.008,0.028,0.02,1389.333,794.667,8.908,0.009,0.001
16,0.017,0.012,0.026,0.01,1440.667,820.333,12.069,0.005,0.001
17,0.011,0.008,0.005,0.017,1486.0,843.0,10.724,0.005,0.001
18,0.014,0.015,0.015,0.021,1530.0,865.0,3.656,0.007,0.001
19,0.011,0.013,0.011,0.016,1572.667,886.333,13.227,0.007,0.002
20,0.011,0.004,0.004,0.01,1614.667,907.333,5.51,0.007,0.002
