,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.535,0.0,0.0,0.0,0.1,0.102,10,171.124
1,0.371,0.0,0.0,0.0,0.2,0.101,20,174.252
2,0.298,0.0,0.0,0.0,0.225,0.101,40,178.318
3,0.283,0.003,0.167,0.001,0.233,0.101,60,181.716
4,0.29,0.109,0.364,0.073,0.262,0.1,80,183.863
5,0.302,0.101,0.163,0.073,0.22,0.1,100,185.198
6,0.322,0.145,0.289,0.097,0.208,0.1,120,186.498
7,0.359,0.178,0.435,0.123,0.186,0.1,140,190.521
8,0.277,0.383,0.501,0.318,0.2,0.099,160,188.999
9,0.319,0.491,0.476,0.509,0.217,0.099,180,190.905
10,0.309,0.528,0.449,0.661,0.245,0.097,200,193.369
11,0.324,0.56,0.504,0.631,0.275,0.096,240,194.142
12,0.315,0.579,0.505,0.679,0.307,0.093,280,196.475
13,0.3,0.577,0.586,0.568,0.316,0.091,320,198.09
14,0.279,0.588,0.598,0.587,0.333,0.089,360,200.148
15,0.315,0.578,0.607,0.561,0.332,0.088,400,201.906
16,0.299,0.583,0.661,0.524,0.35,0.085,440,201.825
17,0.285,0.567,0.607,0.546,0.352,0.083,480,200.374
18,0.327,0.599,0.649,0.557,0.362,0.081,520,205.685
19,0.308,0.603,0.654,0.561,0.371,0.078,560,206.255
20,0.307,0.604,0.657,0.558,0.38,0.075,600,209.476
21,0.29,0.645,0.672,0.621,0.384,0.073,640,211.812
22,0.307,0.639,0.659,0.623,0.384,0.071,680,216.117
23,0.284,0.662,0.677,0.65,0.386,0.069,720,214.273
24,0.361,0.448,0.45,0.446,0.378,0.068,760,216.516
25,0.294,0.648,0.676,0.623,0.366,0.068,800,217.285
26,0.305,0.648,0.673,0.625,0.36,0.067,840,220.175
27,0.298,0.633,0.686,0.588,0.347,0.067,880,225.596
28,0.322,0.641,0.656,0.631,0.345,0.066,920,224.792
29,0.293,0.639,0.689,0.595,0.339,0.065,960,229.352
30,0.309,0.645,0.686,0.61,0.33,0.065,1000,232.873
