,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.057,0.0,0.0,0.0,10,0.1,0.0,27.359
1,0.085,0.0,0.0,0.0,20,0.126,0.0,36.437
2,0.248,0.0,0.0,0.0,40,0.088,0.001,33.254
3,0.065,0.0,0.0,0.0,60,0.05,0.0,31.067
4,0.051,0.0,0.0,0.0,80,0.056,0.001,22.093
5,0.081,0.0,0.0,0.0,100,0.047,0.001,28.15
6,0.046,0.225,0.23,0.233,120,0.035,0.001,18.493
7,0.094,0.132,0.047,0.198,140,0.019,0.0,24.238
8,0.051,0.256,0.292,0.214,160,0.022,0.001,20.267
9,0.098,0.134,0.055,0.255,180,0.02,0.001,13.784
10,0.173,0.217,0.259,0.255,200,0.019,0.001,18.073
11,0.015,0.126,0.038,0.196,240,0.023,0.001,28.687
12,0.139,0.037,0.06,0.129,280,0.013,0.001,22.243
13,0.068,0.159,0.069,0.204,320,0.008,0.0,25.93
14,0.092,0.027,0.053,0.073,360,0.004,0.0,19.872
15,0.028,0.145,0.142,0.146,400,0.009,0.001,27.639
16,0.032,0.054,0.057,0.051,440,0.006,0.0,26.304
17,0.085,0.022,0.102,0.034,480,0.001,0.0,22.703
18,0.056,0.153,0.176,0.133,520,0.002,0.0,17.972
19,0.044,0.141,0.118,0.157,560,0.004,0.0,27.526
20,0.043,0.1,0.101,0.121,600,0.004,0.0,27.289
21,0.044,0.093,0.022,0.123,640,0.004,0.0,28.627
22,0.034,0.046,0.02,0.067,680,0.003,0.0,24.579
23,0.059,0.063,0.041,0.079,720,0.001,0.0,31.038
24,0.123,0.009,0.067,0.026,760,0.004,0.0,19.478
25,0.091,0.016,0.023,0.032,800,0.002,0.0,20.644
26,0.026,0.016,0.04,0.04,840,0.003,0.0,28.599
27,0.048,0.048,0.045,0.057,880,0.002,0.0,22.172
28,0.052,0.043,0.029,0.086,920,0.001,0.0,24.674
29,0.026,0.146,0.175,0.124,960,0.001,0.0,17.368
30,0.042,0.022,0.055,0.065,1000,0.001,0.0,27.264
31,0.03,0.133,0.076,0.16,1718,0.003,0.001,25.441
32,0.021,0.016,0.037,0.015,3437,0.004,0.004,21.57
33,0.013,0.008,0.018,0.004,6874,0.0,0.0,46.558
