,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.033,0.02,0.032,0.139,200.0,200.0,12.83,0.0,0.0
1,0.03,0.031,0.042,0.075,280.0,240.0,17.161,0.004,0.0
2,0.018,0.03,0.009,0.065,360.0,280.0,19.48,0.011,0.001
3,0.039,0.044,0.025,0.097,440.0,320.0,14.648,0.023,0.002
4,0.004,0.022,0.056,0.063,520.0,360.0,12.69,0.025,0.002
5,0.038,0.035,0.053,0.034,600.0,400.0,9.311,0.036,0.003
6,0.007,0.003,0.021,0.022,680.0,440.0,15.84,0.036,0.004
7,0.014,0.026,0.029,0.032,760.0,480.0,10.71,0.027,0.003
8,0.03,0.039,0.021,0.055,840.0,520.0,8.855,0.022,0.003
9,0.033,0.029,0.042,0.054,920.0,560.0,8.827,0.009,0.001
10,0.011,0.031,0.007,0.051,1000.0,600.0,10.715,0.009,0.001
11,0.01,0.022,0.015,0.03,1080.0,640.0,11.089,0.007,0.001
12,0.017,0.027,0.049,0.011,1160.0,680.0,11.468,0.006,0.001
13,0.03,0.032,0.02,0.042,1240.0,720.0,11.116,0.006,0.001
14,0.022,0.016,0.014,0.03,1320.0,760.0,14.28,0.005,0.001
15,0.021,0.024,0.006,0.043,1400.0,800.0,14.475,0.007,0.002
16,0.034,0.023,0.043,0.033,1480.0,840.0,13.473,0.007,0.002
17,0.011,0.007,0.02,0.016,1560.0,880.0,11.607,0.006,0.001
18,0.023,0.014,0.021,0.011,1637.333,918.667,11.442,0.002,0.001
19,0.017,0.014,0.015,0.014,1697.333,948.667,11.794,0.004,0.001
20,0.012,0.013,0.014,0.022,1744.0,972.0,13.377,0.004,0.001
