,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.068,0.954,0.937,0.971,200,259.924,0.195,0.179
1,0.035,0.976,0.973,0.98,280,304.557,0.255,0.177
2,0.021,0.986,0.983,0.989,360,307.141,0.299,0.173
3,0.019,0.986,0.989,0.983,440,313.541,0.331,0.17
4,0.017,0.989,0.987,0.991,520,320.817,0.367,0.165
5,0.018,0.987,0.988,0.986,600,325.726,0.386,0.161
6,0.015,0.989,0.989,0.989,680,326.764,0.397,0.158
7,0.021,0.986,0.986,0.986,760,335.202,0.407,0.154
8,0.017,0.989,0.989,0.989,840,338.423,0.415,0.149
9,0.016,0.989,0.989,0.989,920,351.248,0.423,0.145
10,0.017,0.987,0.987,0.986,1000,355.399,0.429,0.141
