,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.02,0.004,0.007,0.007,200,12.097,0.038,0.001
1,0.011,0.01,0.02,0.01,280,18.789,0.027,0.001
2,0.003,0.002,0.006,0.002,360,10.689,0.007,0.0
3,0.003,0.001,0.006,0.005,440,12.233,0.013,0.001
4,0.002,0.001,0.002,0.0,520,21.781,0.009,0.001
5,0.005,0.001,0.001,0.0,600,18.063,0.011,0.001
6,0.003,0.001,0.002,0.002,680,18.541,0.009,0.001
7,0.004,0.001,0.002,0.004,760,14.44,0.007,0.001
8,0.002,0.001,0.002,0.002,840,22.954,0.008,0.001
9,0.005,0.002,0.003,0.002,920,18.294,0.008,0.001
10,0.004,0.003,0.006,0.002,1000,13.675,0.008,0.001
