,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.578,0.0,0.0,0.0,0.2,0.186,10,434.369
1,0.471,0.0,0.0,0.0,0.3,0.186,20,431.214
2,0.296,0.829,0.861,0.818,0.425,0.186,40,436.256
3,0.139,0.881,0.865,0.906,0.417,0.185,60,434.539
4,0.143,0.872,0.839,0.908,0.438,0.185,80,442.804
5,0.128,0.895,0.865,0.927,0.46,0.185,100,436.742
6,0.104,0.904,0.892,0.916,0.475,0.184,120,448.32
7,0.128,0.89,0.858,0.926,0.479,0.184,140,440.001
8,0.134,0.91,0.891,0.93,0.481,0.183,160,445.842
9,0.113,0.918,0.916,0.921,0.472,0.183,180,450.044
10,0.121,0.914,0.905,0.923,0.485,0.183,200,449.954
11,0.123,0.91,0.908,0.913,0.492,0.182,240,452.965
12,0.141,0.912,0.91,0.915,0.504,0.181,280,452.286
13,0.125,0.92,0.934,0.906,0.506,0.18,320,458.222
14,0.127,0.92,0.922,0.919,0.511,0.179,360,453.015
15,0.123,0.922,0.924,0.921,0.507,0.179,400,466.125
16,0.132,0.926,0.911,0.942,0.5,0.178,440,463.04
17,0.125,0.928,0.914,0.943,0.498,0.177,480,460.858
18,0.137,0.923,0.918,0.928,0.487,0.177,520,467.975
19,0.123,0.925,0.931,0.92,0.486,0.176,560,465.935
20,0.137,0.927,0.919,0.935,0.49,0.175,600,467.979
21,0.13,0.932,0.931,0.932,0.484,0.175,640,468.297
22,0.123,0.929,0.933,0.924,0.487,0.174,680,469.206
23,0.133,0.934,0.937,0.931,0.492,0.173,720,480.112
24,0.133,0.928,0.94,0.917,0.487,0.172,760,491.267
25,0.138,0.928,0.935,0.921,0.488,0.172,800,492.136
26,0.121,0.933,0.938,0.929,0.488,0.171,840,507.362
27,0.127,0.928,0.942,0.914,0.49,0.17,880,496.286
28,0.127,0.931,0.933,0.93,0.49,0.169,920,498.794
29,0.132,0.927,0.938,0.917,0.489,0.168,960,502.989
30,0.137,0.93,0.945,0.916,0.491,0.167,1000,506.063
