,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.081,0.182,0.108,0.577,10,0.153,0.0,34.828
1,0.068,0.0,0.0,0.0,20,0.126,0.0,8.079
2,0.134,0.0,0.0,0.0,40,0.09,0.0,29.082
3,0.047,0.494,0.504,0.488,60,0.06,0.0,41.341
4,0.048,0.046,0.05,0.118,80,0.052,0.0,36.911
5,0.032,0.023,0.029,0.044,100,0.035,0.0,9.542
6,0.02,0.018,0.019,0.018,120,0.029,0.0,13.898
7,0.023,0.015,0.006,0.032,140,0.027,0.0,15.105
8,0.017,0.02,0.087,0.107,160,0.02,0.0,43.947
9,0.008,0.009,0.04,0.052,180,0.018,0.0,44.356
10,0.017,0.009,0.045,0.053,200,0.016,0.0,27.066
11,0.019,0.016,0.017,0.046,240,0.029,0.0,24.542
12,0.039,0.018,0.042,0.051,280,0.026,0.0,17.229
13,0.053,0.019,0.005,0.042,320,0.033,0.001,53.955
14,0.013,0.009,0.023,0.04,360,0.02,0.0,45.225
15,0.031,0.015,0.037,0.047,400,0.016,0.0,24.081
16,0.014,0.01,0.016,0.037,440,0.016,0.0,19.3
17,0.005,0.005,0.029,0.035,480,0.017,0.0,25.836
18,0.035,0.011,0.015,0.015,520,0.013,0.0,24.505
19,0.016,0.005,0.012,0.003,560,0.009,0.0,27.307
20,0.031,0.013,0.018,0.012,600,0.005,0.0,21.934
21,0.009,0.003,0.01,0.01,640,0.007,0.0,37.899
22,0.011,0.003,0.01,0.014,680,0.009,0.0,24.915
23,0.028,0.003,0.018,0.014,720,0.007,0.0,24.572
24,0.012,0.006,0.021,0.013,760,0.009,0.0,29.785
25,0.008,0.001,0.01,0.009,800,0.009,0.0,24.425
26,0.018,0.003,0.007,0.003,840,0.009,0.0,24.352
27,0.023,0.008,0.003,0.019,880,0.006,0.0,24.95
28,0.01,0.008,0.003,0.016,920,0.003,0.0,7.652
29,0.019,0.004,0.015,0.021,960,0.004,0.0,30.955
30,0.01,0.007,0.007,0.016,1000,0.003,0.0,17.673
31,0.011,0.004,0.01,0.009,4305,0.005,0.002,20.824
32,0.01,0.004,0.01,0.017,8611,0.002,0.002,18.942
33,0.01,0.003,0.003,0.006,17223,0.0,0.0,42.589
