,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.491,0.0,0.0,0.0,0.1,0.094,10,333.127
1,0.449,0.0,0.0,0.0,0.3,0.093,20,324.771
2,0.471,0.013,0.222,0.007,0.4,0.092,40,332.514
3,0.304,0.394,0.355,0.442,0.417,0.091,60,341.853
4,0.28,0.407,0.414,0.466,0.438,0.089,80,331.583
5,0.402,0.422,0.347,0.585,0.46,0.088,100,344.479
6,0.302,0.534,0.491,0.594,0.475,0.086,120,339.395
7,0.336,0.517,0.447,0.639,0.457,0.085,140,338.53
8,0.386,0.497,0.418,0.649,0.456,0.084,160,344.359
9,0.338,0.506,0.488,0.546,0.456,0.083,180,337.471
10,0.326,0.603,0.526,0.715,0.455,0.082,200,342.399
11,0.277,0.618,0.599,0.646,0.467,0.079,240,354.349
12,0.3,0.611,0.593,0.648,0.468,0.076,280,354.306
13,0.276,0.637,0.587,0.703,0.469,0.073,320,359.984
14,0.342,0.634,0.502,0.862,0.481,0.07,360,355.737
15,0.278,0.68,0.592,0.8,0.488,0.066,400,347.699
16,0.212,0.753,0.675,0.855,0.5,0.062,440,363.298
17,0.276,0.733,0.632,0.881,0.504,0.059,480,359.458
18,0.212,0.748,0.646,0.889,0.512,0.055,520,363.869
19,0.309,0.685,0.554,0.898,0.516,0.051,560,362.328
20,0.309,0.71,0.589,0.898,0.518,0.048,600,361.857
21,0.24,0.74,0.627,0.905,0.517,0.045,640,368.5
22,0.218,0.755,0.658,0.886,0.518,0.041,680,361.776
23,0.277,0.72,0.602,0.9,0.522,0.037,720,372.006
24,0.29,0.703,0.586,0.888,0.522,0.033,760,371.729
25,0.228,0.761,0.661,0.898,0.519,0.03,800,378.495
26,0.198,0.78,0.705,0.883,0.495,0.03,840,385.648
27,0.203,0.791,0.728,0.867,0.477,0.03,880,382.529
28,0.203,0.774,0.694,0.881,0.463,0.029,920,387.467
29,0.215,0.771,0.687,0.881,0.452,0.027,960,395.436
30,0.22,0.768,0.682,0.881,0.439,0.027,1000,393.709
