,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.092,0.0,0.0,0.0,10,0.0,0.0,5.877
1,0.064,0.0,0.0,0.0,20,0.029,0.0,10.454
2,0.012,0.0,0.0,0.0,40,0.014,0.0,13.155
3,0.056,0.0,0.0,0.0,60,0.017,0.0,3.709
4,0.018,0.0,0.0,0.0,80,0.031,0.0,2.212
5,0.091,0.164,0.141,0.197,100,0.035,0.001,8.552
6,0.132,0.24,0.374,0.176,120,0.03,0.001,9.793
7,0.077,0.186,0.296,0.139,140,0.022,0.001,11.122
8,0.083,0.107,0.285,0.068,160,0.011,0.0,14.311
9,0.106,0.032,0.151,0.018,180,0.008,0.0,24.66
10,0.028,0.231,0.321,0.223,200,0.008,0.0,6.862
11,0.138,0.235,0.285,0.192,240,0.015,0.001,12.449
12,0.055,0.192,0.285,0.146,280,0.014,0.001,2.281
13,0.15,0.213,0.308,0.161,320,0.012,0.001,12.872
14,0.122,0.18,0.19,0.166,360,0.008,0.0,9.606
15,0.059,0.058,0.084,0.122,400,0.013,0.001,9.228
16,0.135,0.365,0.414,0.319,440,0.011,0.001,1.213
17,0.118,0.145,0.077,0.206,480,0.009,0.001,3.801
18,0.122,0.256,0.245,0.264,520,0.007,0.001,23.828
19,0.064,0.378,0.425,0.341,560,0.008,0.001,15.181
20,0.06,0.052,0.012,0.084,600,0.008,0.001,8.335
21,0.08,0.114,0.112,0.112,640,0.008,0.001,12.627
22,0.175,0.335,0.286,0.356,680,0.006,0.001,3.788
23,0.031,0.048,0.058,0.097,720,0.005,0.001,8.884
24,0.127,0.172,0.068,0.246,760,0.004,0.001,3.782
25,0.191,0.303,0.291,0.298,800,0.004,0.001,17.136
26,0.004,0.048,0.042,0.063,840,0.003,0.0,27.611
27,0.03,0.064,0.029,0.124,880,0.004,0.001,18.933
28,0.117,0.201,0.192,0.208,920,0.005,0.001,13.983
29,0.023,0.032,0.024,0.071,960,0.007,0.001,17.892
30,0.039,0.044,0.049,0.051,1000,0.006,0.001,14.615
31,0.017,0.031,0.077,0.036,1536,0.008,0.003,15.081
32,0.018,0.022,0.035,0.018,3072,0.002,0.002,14.942
33,0.01,0.011,0.008,0.019,6144,0.0,0.0,11.676
