,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.028,0.231,0.321,0.223,200.0,7.259,0.008,0.0
1,0.202,0.248,0.299,0.238,233.333,7.291,0.004,0.0
2,0.081,0.084,0.04,0.17,273.333,3.118,0.044,0.002
3,0.019,0.019,0.158,0.145,313.333,7.003,0.039,0.002
4,0.084,0.187,0.194,0.18,353.333,11.45,0.028,0.002
5,0.038,0.09,0.055,0.13,393.333,9.007,0.019,0.001
6,0.03,0.031,0.086,0.027,433.333,12.809,0.02,0.002
7,0.103,0.403,0.309,0.378,473.333,8.727,0.017,0.001
8,0.032,0.021,0.03,0.036,513.333,12.177,0.009,0.001
9,0.024,0.017,0.028,0.003,553.333,0.7,0.006,0.001
10,0.045,0.025,0.056,0.013,593.333,12.547,0.004,0.001
11,0.136,0.471,0.472,0.471,633.333,8.769,0.008,0.001
12,0.016,0.032,0.063,0.073,666.667,9.456,0.009,0.001
13,0.01,0.025,0.036,0.015,706.667,8.131,0.01,0.002
14,0.164,0.47,0.488,0.454,746.667,4.464,0.011,0.002
15,0.006,0.022,0.031,0.013,780.0,6.103,0.015,0.003
16,0.025,0.028,0.06,0.032,820.0,17.245,0.016,0.003
17,0.183,0.473,0.47,0.48,860.0,15.625,0.012,0.002
18,0.171,0.476,0.481,0.474,893.333,5.292,0.016,0.003
19,0.111,0.223,0.292,0.094,926.667,4.821,0.016,0.003
20,0.179,0.496,0.509,0.485,966.667,16.719,0.021,0.004
