,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.028,0.231,0.321,0.223,200.0,200.0,21.228,0.008,0.0
1,0.074,0.262,0.387,0.199,266.667,233.333,5.548,0.025,0.001
2,0.007,0.025,0.011,0.031,333.333,266.667,11.246,0.069,0.004
3,0.044,0.085,0.033,0.119,413.333,306.667,4.774,0.056,0.005
4,0.015,0.029,0.087,0.024,493.333,346.667,2.481,0.046,0.005
5,0.01,0.026,0.028,0.024,573.333,386.667,16.021,0.038,0.005
6,0.012,0.009,0.015,0.029,653.333,426.667,5.281,0.035,0.005
7,0.025,0.016,0.012,0.023,733.333,466.667,4.739,0.024,0.004
8,0.011,0.028,0.04,0.061,813.333,506.667,2.341,0.025,0.005
9,0.02,0.018,0.014,0.045,893.333,546.667,12.04,0.015,0.004
10,0.01,0.015,0.012,0.022,973.333,586.667,13.556,0.015,0.004
11,0.02,0.014,0.057,0.037,1053.333,626.667,14.738,0.013,0.004
12,0.005,0.016,0.031,0.019,1133.333,666.667,8.881,0.012,0.004
13,0.014,0.009,0.013,0.013,1213.333,706.667,8.825,0.014,0.005
14,0.006,0.022,0.023,0.024,1293.333,746.667,2.524,0.015,0.005
15,0.008,0.015,0.019,0.037,1373.333,786.667,6.932,0.015,0.005
16,0.008,0.003,0.006,0.011,1447.333,823.667,20.064,0.006,0.001
17,0.008,0.006,0.012,0.005,1502.667,851.333,12.553,0.004,0.001
18,0.013,0.012,0.018,0.034,1554.667,877.333,15.339,0.005,0.001
19,0.011,0.019,0.002,0.036,1602.667,901.333,24.605,0.005,0.0
20,0.008,0.02,0.031,0.011,1648.0,924.0,11.089,0.007,0.001
