,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.488,0.0,0.0,0.0,0.1,0.107,10,364.339
1,0.474,0.0,0.0,0.0,0.05,0.107,20,368.965
2,0.333,0.0,0.0,0.0,0.15,0.107,40,376.105
3,0.339,0.0,0.0,0.0,0.2,0.106,60,379.339
4,0.336,0.0,0.0,0.0,0.162,0.106,80,370.46
5,0.373,0.104,0.261,0.068,0.19,0.106,100,372.601
6,0.338,0.373,0.451,0.319,0.225,0.105,120,380.344
7,0.418,0.386,0.378,0.422,0.286,0.103,140,390.889
8,0.237,0.598,0.682,0.537,0.319,0.101,160,386.266
9,0.261,0.61,0.622,0.613,0.322,0.1,180,384.799
10,0.223,0.631,0.689,0.592,0.34,0.099,200,384.826
11,0.171,0.78,0.798,0.769,0.358,0.096,240,387.998
12,0.15,0.808,0.784,0.837,0.386,0.093,280,389.427
13,0.155,0.815,0.861,0.775,0.391,0.091,320,382.497
14,0.147,0.813,0.833,0.798,0.411,0.087,360,388.548
15,0.146,0.818,0.84,0.798,0.41,0.085,400,398.419
16,0.152,0.831,0.843,0.822,0.425,0.081,440,398.282
17,0.159,0.831,0.822,0.84,0.427,0.078,480,399.092
18,0.145,0.847,0.834,0.862,0.429,0.075,520,417.782
19,0.156,0.815,0.823,0.811,0.429,0.073,560,416.556
20,0.149,0.851,0.843,0.861,0.428,0.07,600,421.059
21,0.18,0.831,0.789,0.879,0.419,0.068,640,424.044
22,0.153,0.843,0.816,0.872,0.418,0.066,680,423.301
23,0.157,0.842,0.812,0.874,0.404,0.065,720,426.395
24,0.163,0.839,0.821,0.861,0.389,0.064,760,424.65
25,0.164,0.839,0.813,0.867,0.376,0.064,800,430.313
26,0.15,0.846,0.843,0.85,0.367,0.063,840,429.753
27,0.147,0.854,0.853,0.854,0.357,0.062,880,435.486
28,0.158,0.856,0.851,0.862,0.345,0.062,920,461.649
29,0.172,0.85,0.843,0.858,0.339,0.061,960,454.457
30,0.158,0.864,0.844,0.885,0.339,0.059,1000,450.435
