,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.223,0.631,0.689,0.592,200.0,200.0,333.629,0.34,0.099
1,0.156,0.788,0.832,0.751,280.0,240.0,369.983,0.365,0.094
2,0.17,0.805,0.831,0.78,360.0,280.0,373.19,0.404,0.087
3,0.16,0.823,0.832,0.816,440.0,320.0,388.032,0.409,0.082
4,0.153,0.843,0.859,0.828,520.0,360.0,390.858,0.417,0.076
5,0.131,0.852,0.857,0.848,600.0,400.0,401.501,0.427,0.07
6,0.127,0.876,0.907,0.85,680.0,440.0,395.348,0.426,0.064
7,0.132,0.87,0.911,0.833,760.0,480.0,406.447,0.436,0.057
8,0.121,0.889,0.908,0.872,840.0,520.0,406.502,0.441,0.05
9,0.123,0.892,0.913,0.874,920.0,560.0,422.28,0.445,0.043
10,0.113,0.898,0.922,0.875,1000.0,600.0,424.296,0.443,0.036
11,0.117,0.884,0.901,0.867,1080.0,640.0,427.849,0.447,0.029
12,0.095,0.906,0.932,0.882,1160.0,680.0,433.247,0.447,0.021
13,0.098,0.91,0.919,0.901,1240.0,720.0,443.895,0.451,0.013
14,0.105,0.907,0.932,0.883,1320.0,760.0,451.249,0.453,0.006
15,0.091,0.905,0.932,0.88,1362.667,781.333,457.137,0.439,0.006
16,0.11,0.909,0.938,0.882,1404.0,802.0,455.629,0.427,0.005
17,0.098,0.901,0.925,0.879,1446.0,823.0,466.225,0.417,0.005
18,0.108,0.888,0.893,0.883,1488.0,844.0,462.934,0.407,0.004
19,0.094,0.899,0.912,0.887,1530.0,865.0,464.043,0.398,0.004
20,0.095,0.897,0.907,0.887,1572.667,886.333,467.955,0.389,0.003
