,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.32,0.497,0.605,0.435,200.0,310.464,0.103,0.107
1,0.244,0.603,0.732,0.513,240.0,351.977,0.165,0.105
2,0.268,0.64,0.725,0.573,280.0,357.581,0.214,0.102
3,0.185,0.775,0.847,0.718,320.0,369.361,0.258,0.098
4,0.167,0.791,0.871,0.728,360.0,365.658,0.285,0.095
5,0.171,0.8,0.87,0.746,400.0,372.414,0.311,0.092
6,0.151,0.798,0.89,0.723,440.0,386.551,0.326,0.089
7,0.142,0.826,0.926,0.746,480.0,375.543,0.347,0.085
8,0.111,0.877,0.929,0.83,520.0,389.118,0.368,0.081
9,0.11,0.865,0.915,0.825,560.0,385.871,0.374,0.078
10,0.233,0.575,0.605,0.549,600.0,392.358,0.378,0.076
11,0.097,0.885,0.918,0.854,633.333,401.606,0.381,0.073
12,0.244,0.6,0.634,0.57,673.333,396.916,0.386,0.07
13,0.262,0.582,0.583,0.583,706.667,389.265,0.391,0.067
14,0.086,0.898,0.929,0.871,740.0,401.279,0.387,0.066
15,0.241,0.587,0.612,0.563,780.0,402.6,0.388,0.063
16,0.095,0.896,0.931,0.864,813.333,397.371,0.393,0.06
17,0.088,0.874,0.911,0.841,853.333,406.922,0.399,0.056
18,0.238,0.592,0.598,0.587,893.333,414.743,0.401,0.053
19,0.399,0.296,0.312,0.282,926.667,400.097,0.398,0.051
20,0.087,0.893,0.931,0.859,953.333,415.155,0.398,0.049
