,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.086,0.0,0.0,0.0,10,0.058,0.0,5.359
1,0.127,0.0,0.0,0.0,20,0.076,0.0,17.357
2,0.018,0.0,0.0,0.0,40,0.025,0.0,21.326
3,0.045,0.0,0.0,0.0,60,0.017,0.0,9.849
4,0.069,0.005,0.048,0.003,80,0.026,0.0,13.727
5,0.075,0.08,0.385,0.045,100,0.012,0.0,9.534
6,0.013,0.038,0.116,0.023,120,0.019,0.0,11.13
7,0.015,0.183,0.42,0.117,140,0.007,0.0,8.426
8,0.03,0.294,0.434,0.223,160,0.013,0.0,10.304
9,0.1,0.247,0.342,0.201,180,0.006,0.0,8.557
10,0.046,0.299,0.311,0.29,200,0.013,0.0,20.905
11,0.044,0.326,0.417,0.277,240,0.008,0.0,4.856
12,0.04,0.081,0.238,0.075,280,0.007,0.0,10.651
13,0.103,0.043,0.04,0.074,320,0.009,0.001,5.379
14,0.027,0.04,0.009,0.069,360,0.008,0.001,3.397
15,0.076,0.147,0.058,0.174,400,0.004,0.0,4.977
16,0.036,0.036,0.072,0.018,440,0.007,0.001,9.673
17,0.112,0.191,0.172,0.202,480,0.004,0.0,4.959
18,0.028,0.009,0.049,0.048,520,0.009,0.001,5.845
19,0.015,0.051,0.06,0.043,560,0.008,0.001,2.743
20,0.019,0.057,0.088,0.085,600,0.009,0.001,8.437
21,0.057,0.187,0.104,0.23,640,0.008,0.001,17.945
22,0.021,0.024,0.102,0.075,680,0.007,0.001,17.549
23,0.021,0.076,0.113,0.049,720,0.005,0.001,19.024
24,0.016,0.027,0.048,0.024,760,0.009,0.001,24.276
25,0.02,0.029,0.036,0.054,800,0.009,0.001,21.449
26,0.095,0.461,0.49,0.436,840,0.011,0.002,11.828
27,0.006,0.028,0.021,0.042,880,0.01,0.002,17.843
28,0.023,0.02,0.023,0.021,920,0.012,0.002,7.682
29,0.016,0.014,0.016,0.02,960,0.01,0.002,3.709
30,0.022,0.015,0.048,0.044,1000,0.008,0.002,8.671
31,0.012,0.008,0.035,0.02,1435,0.006,0.002,17.197
32,0.021,0.018,0.023,0.012,2871,0.004,0.004,9.596
33,0.006,0.008,0.005,0.01,5743,0.0,0.0,32.04
