,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.375,0.444,0.514,0.417,200,247.78,0.12,0.101
1,0.339,0.478,0.537,0.447,240,269.26,0.162,0.099
2,0.336,0.555,0.608,0.514,280,273.955,0.199,0.098
3,0.33,0.564,0.575,0.561,320,285.25,0.226,0.096
4,0.348,0.541,0.648,0.471,360,310.967,0.246,0.094
5,0.326,0.56,0.61,0.526,400,336.756,0.268,0.091
6,0.312,0.605,0.627,0.587,440,296.691,0.277,0.09
7,0.304,0.588,0.611,0.571,480,296.893,0.285,0.088
8,0.298,0.605,0.654,0.566,520,295.723,0.295,0.086
9,0.323,0.572,0.611,0.549,560,328.063,0.302,0.084
10,0.307,0.606,0.671,0.555,600,312.001,0.308,0.082
11,0.3,0.615,0.678,0.565,640,353.214,0.317,0.08
12,0.296,0.621,0.694,0.568,680,336.102,0.322,0.078
13,0.302,0.632,0.705,0.575,720,341.657,0.326,0.075
14,0.294,0.633,0.683,0.593,760,339.366,0.332,0.073
15,0.278,0.656,0.721,0.604,800,348.32,0.335,0.071
16,0.284,0.656,0.698,0.621,840,376.988,0.34,0.068
17,0.297,0.657,0.712,0.612,880,363.806,0.344,0.066
18,0.287,0.638,0.711,0.582,920,365.606,0.348,0.064
19,0.296,0.646,0.721,0.586,960,378.653,0.352,0.061
20,0.278,0.658,0.728,0.603,1000,387.508,0.355,0.059
