,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.118,0.913,0.859,0.977,0.48,0.178,50,481.946
1,0.08,0.938,0.9,0.98,0.48,0.177,75,475.692
2,0.074,0.94,0.925,0.957,0.46,0.176,100,487.097
3,0.065,0.943,0.911,0.977,0.467,0.175,120,492.865
4,0.059,0.956,0.936,0.978,0.457,0.174,140,477.9
5,0.057,0.957,0.947,0.968,0.469,0.173,160,516.695
6,0.052,0.962,0.957,0.967,0.478,0.172,180,516.977
7,0.055,0.959,0.964,0.955,0.49,0.171,200,537.918
8,0.055,0.957,0.96,0.955,0.48,0.169,250,500.977
9,0.051,0.962,0.966,0.959,0.477,0.167,300,565.92
10,0.045,0.977,0.969,0.986,0.465,0.163,400,562.29
11,0.019,0.988,0.988,0.988,0.46,0.159,500,618.678
12,0.023,0.981,0.973,0.988,0.463,0.155,600,670.732
13,0.027,0.978,0.97,0.986,0.463,0.15,700,713.965
14,0.017,0.986,0.983,0.99,0.464,0.145,800,647.277
15,0.02,0.981,0.972,0.99,0.462,0.141,900,737.05
16,0.018,0.982,0.976,0.988,0.459,0.136,1000,731.369
