,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.173,0.891,0.877,0.906,200,725.449,0.189,0.186
1,0.127,0.916,0.915,0.92,240,820.661,0.24,0.185
2,0.109,0.932,0.928,0.937,280,904.24,0.272,0.185
3,0.107,0.934,0.922,0.947,320,834.591,0.3,0.184
4,0.108,0.937,0.928,0.947,360,834.959,0.318,0.183
5,0.097,0.938,0.942,0.933,400,825.692,0.335,0.183
6,0.101,0.939,0.939,0.94,440,914.931,0.354,0.182
7,0.096,0.942,0.937,0.946,480,850.143,0.367,0.181
8,0.099,0.942,0.941,0.943,520,897.414,0.375,0.18
9,0.103,0.942,0.937,0.948,560,924.215,0.383,0.18
10,0.096,0.945,0.94,0.95,600,886.761,0.39,0.179
11,0.107,0.944,0.935,0.953,640,880.501,0.402,0.178
12,0.094,0.948,0.937,0.958,680,945.893,0.407,0.177
13,0.095,0.948,0.945,0.951,720,906.281,0.409,0.177
14,0.096,0.946,0.944,0.948,760,893.181,0.412,0.176
15,0.096,0.947,0.946,0.947,800,948.165,0.417,0.175
16,0.105,0.945,0.942,0.949,840,977.368,0.423,0.174
17,0.1,0.944,0.944,0.943,880,1006.243,0.426,0.173
18,0.105,0.945,0.941,0.949,920,983.82,0.431,0.172
19,0.096,0.946,0.944,0.949,960,967.432,0.433,0.172
20,0.098,0.948,0.942,0.955,1000,980.389,0.434,0.171
