,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.3,0.0,0.0,0.0,50,0.104,0.094,375.948
1,0.31,0.008,0.07,0.004,75,0.101,0.094,387.203
2,0.341,0.0,0.0,0.0,100,0.08,0.094,393.644
3,0.301,0.013,0.093,0.007,120,0.097,0.094,398.256
4,0.337,0.019,0.173,0.01,140,0.094,0.094,399.205
5,0.314,0.052,0.387,0.029,160,0.086,0.094,399.018
6,0.307,0.276,0.555,0.208,180,0.098,0.094,397.922
7,0.344,0.241,0.344,0.206,200,0.087,0.094,407.125
8,0.326,0.218,0.261,0.235,250,0.101,0.093,426.478
9,0.403,0.246,0.376,0.192,300,0.076,0.095,439.696
10,0.298,0.539,0.627,0.496,400,0.097,0.094,436.478
11,0.25,0.691,0.721,0.668,500,0.088,0.094,460.75
12,0.225,0.708,0.76,0.672,600,0.097,0.093,478.327
13,0.203,0.743,0.8,0.694,700,0.092,0.094,500.604
14,0.216,0.735,0.779,0.702,800,0.092,0.094,524.461
15,0.281,0.598,0.616,0.594,900,0.099,0.093,535.584
16,0.215,0.768,0.759,0.78,1000,0.093,0.094,559.392
17,0.158,0.865,0.882,0.85,6144,0.094,0.094,1443.562
