,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.344,0.0,0.0,0.0,60,0.103,0.102,154.193
1,0.357,0.031,0.072,0.02,80,0.105,0.102,158.411
2,0.44,0.178,0.352,0.152,100,0.104,0.102,168.644
3,0.403,0.216,0.427,0.162,120,0.1,0.102,161.875
4,0.373,0.421,0.546,0.362,140,0.097,0.102,168.729
5,0.45,0.276,0.494,0.238,160,0.094,0.102,166.979
6,0.436,0.42,0.471,0.391,180,0.092,0.102,168.228
7,0.357,0.381,0.511,0.333,200,0.091,0.102,168.634
8,0.462,0.429,0.445,0.431,240,0.092,0.102,170.972
9,0.409,0.436,0.556,0.374,280,0.095,0.102,172.32
10,0.406,0.47,0.525,0.441,320,0.096,0.102,177.529
11,0.395,0.445,0.514,0.417,360,0.094,0.102,173.805
12,0.408,0.507,0.573,0.468,400,0.094,0.102,181.07
13,0.4,0.502,0.562,0.462,440,0.094,0.102,181.516
14,0.422,0.442,0.581,0.362,480,0.096,0.102,179.621
15,0.363,0.515,0.595,0.456,520,0.094,0.102,188.029
16,0.433,0.495,0.564,0.443,560,0.094,0.102,187.644
17,0.397,0.519,0.6,0.462,600,0.094,0.102,190.875
18,0.445,0.396,0.492,0.332,640,0.094,0.103,193.339
19,0.405,0.511,0.601,0.448,680,0.094,0.103,199.669
20,0.407,0.525,0.562,0.499,720,0.096,0.102,202.634
21,0.375,0.541,0.588,0.503,760,0.096,0.102,206.355
22,0.389,0.572,0.604,0.544,800,0.097,0.102,196.835
23,0.381,0.554,0.623,0.509,840,0.097,0.102,210.277
24,0.425,0.523,0.574,0.49,880,0.098,0.102,214.538
25,0.369,0.568,0.624,0.522,920,0.099,0.102,209.726
26,0.393,0.494,0.596,0.432,960,0.098,0.102,219.585
27,0.378,0.577,0.641,0.527,1000,0.099,0.102,217.754
28,0.256,0.711,0.766,0.664,6874,0.102,0.102,481.743
