,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.468,0.399,0.476,0.36,200,132.784,0.091,0.102
1,0.368,0.496,0.534,0.482,240,147.521,0.141,0.1
2,0.357,0.508,0.59,0.457,280,153.068,0.181,0.098
3,0.353,0.539,0.593,0.505,320,151.437,0.207,0.097
4,0.333,0.548,0.631,0.491,360,153.897,0.227,0.095
5,0.34,0.528,0.649,0.463,400,155.963,0.245,0.093
6,0.313,0.571,0.652,0.516,440,157.705,0.265,0.09
7,0.343,0.585,0.634,0.555,480,158.724,0.281,0.088
8,0.346,0.56,0.671,0.488,520,161.867,0.293,0.086
9,0.338,0.576,0.706,0.502,560,163.255,0.301,0.084
10,0.314,0.616,0.694,0.56,600,167.292,0.312,0.082
11,0.297,0.613,0.714,0.539,640,169.944,0.32,0.079
12,0.317,0.602,0.712,0.526,680,169.946,0.33,0.077
13,0.295,0.643,0.701,0.6,720,170.143,0.338,0.074
14,0.323,0.64,0.737,0.568,760,171.188,0.343,0.072
15,0.31,0.645,0.72,0.586,800,174.651,0.352,0.069
16,0.303,0.622,0.715,0.551,840,192.169,0.356,0.066
17,0.299,0.646,0.725,0.584,880,177.253,0.359,0.064
18,0.288,0.65,0.737,0.582,920,177.609,0.361,0.062
19,0.302,0.651,0.739,0.585,960,179.063,0.362,0.059
20,0.293,0.659,0.729,0.603,1000,183.347,0.365,0.057
