,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.305,0.0,0.0,0.0,0.233,0.101,60,187.359
1,0.285,0.168,0.248,0.138,0.262,0.1,80,185.947
2,0.313,0.165,0.295,0.117,0.22,0.1,100,184.473
3,0.352,0.218,0.43,0.157,0.208,0.1,120,190.866
4,0.369,0.29,0.422,0.241,0.186,0.1,140,196.329
5,0.287,0.35,0.463,0.292,0.2,0.099,160,198.413
6,0.311,0.424,0.474,0.389,0.217,0.099,180,193.726
7,0.361,0.44,0.466,0.461,0.245,0.097,200,194.191
8,0.334,0.489,0.515,0.47,0.275,0.096,240,192.535
9,0.319,0.575,0.515,0.658,0.307,0.093,280,199.481
10,0.326,0.587,0.599,0.587,0.316,0.091,320,203.167
11,0.303,0.577,0.616,0.544,0.333,0.089,360,211.865
12,0.294,0.596,0.615,0.579,0.332,0.088,400,204.446
13,0.3,0.581,0.676,0.51,0.35,0.085,440,203.404
14,0.316,0.589,0.656,0.536,0.352,0.083,480,207.515
15,0.306,0.591,0.664,0.538,0.362,0.081,520,210.86
16,0.312,0.601,0.651,0.562,0.371,0.078,560,210.746
17,0.299,0.623,0.656,0.594,0.38,0.075,600,214.412
18,0.313,0.633,0.641,0.628,0.384,0.073,640,215.03
19,0.29,0.648,0.675,0.624,0.384,0.071,680,222.836
20,0.29,0.651,0.683,0.622,0.386,0.069,720,222.608
21,0.281,0.647,0.683,0.615,0.378,0.068,760,223.465
22,0.281,0.65,0.671,0.632,0.366,0.068,800,224.913
23,0.295,0.638,0.689,0.595,0.36,0.067,840,239.714
24,0.318,0.633,0.684,0.591,0.347,0.067,880,245.231
25,0.323,0.641,0.676,0.61,0.345,0.066,920,243.819
26,0.276,0.656,0.684,0.63,0.339,0.065,960,247.696
27,0.304,0.655,0.687,0.627,0.33,0.065,1000,247.365
