,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.311,0.474,0.547,0.432,200,136.815,0.145,0.1
1,0.315,0.543,0.579,0.519,240,147.542,0.182,0.099
2,0.304,0.564,0.62,0.527,280,146.557,0.209,0.097
3,0.277,0.572,0.641,0.521,320,150.608,0.237,0.095
4,0.269,0.475,0.564,0.41,360,154.522,0.258,0.093
5,0.292,0.576,0.654,0.519,396,152.584,0.28,0.091
6,0.275,0.597,0.646,0.557,436,155.845,0.294,0.089
7,0.259,0.612,0.637,0.597,476,163.88,0.302,0.087
8,0.275,0.619,0.679,0.57,516,162.158,0.31,0.085
9,0.308,0.503,0.536,0.474,556,161.457,0.318,0.083
10,0.285,0.653,0.706,0.609,592,166.72,0.325,0.081
11,0.28,0.634,0.705,0.58,632,172.022,0.333,0.078
12,0.259,0.662,0.731,0.605,672,168.583,0.341,0.076
13,0.318,0.504,0.534,0.478,712,168.756,0.352,0.073
14,0.28,0.597,0.626,0.571,748,180.36,0.357,0.07
15,0.263,0.643,0.685,0.609,788,176.886,0.355,0.069
16,0.248,0.671,0.727,0.624,828,175.297,0.358,0.067
17,0.298,0.525,0.566,0.491,868,182.465,0.36,0.064
18,0.234,0.689,0.728,0.654,904,183.819,0.362,0.062
19,0.3,0.574,0.61,0.549,944,185.143,0.366,0.06
20,0.206,0.693,0.725,0.666,984,184.467,0.364,0.058
