,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.467,0.354,0.509,0.292,200,200,149.977,0.091,0.102
1,0.396,0.46,0.53,0.42,240,220,163.924,0.144,0.1
2,0.376,0.422,0.527,0.356,280,240,167.554,0.172,0.099
3,0.381,0.505,0.646,0.418,320,260,168.048,0.195,0.097
4,0.364,0.539,0.649,0.472,360,280,180.953,0.227,0.095
5,0.367,0.545,0.625,0.487,400,300,185.714,0.25,0.093
6,0.358,0.571,0.619,0.538,440,320,178.414,0.263,0.091
7,0.331,0.57,0.669,0.501,480,340,181.518,0.274,0.089
8,0.324,0.59,0.687,0.519,520,360,181.845,0.287,0.087
9,0.327,0.595,0.679,0.53,560,380,187.15,0.299,0.084
10,0.312,0.608,0.712,0.532,600,400,188.328,0.312,0.082
11,0.309,0.615,0.689,0.558,640,420,188.171,0.32,0.079
12,0.313,0.608,0.719,0.528,680,440,191.22,0.324,0.077
13,0.294,0.641,0.735,0.573,720,460,187.363,0.331,0.075
14,0.288,0.612,0.674,0.562,760,480,193.584,0.336,0.073
15,0.299,0.625,0.716,0.562,800,500,195.706,0.338,0.071
16,0.282,0.621,0.722,0.55,840,520,199.267,0.342,0.068
17,0.301,0.644,0.752,0.564,880,540,200.289,0.347,0.066
18,0.297,0.646,0.754,0.566,920,560,206.246,0.351,0.063
19,0.301,0.649,0.751,0.573,960,580,205.416,0.356,0.06
20,0.305,0.652,0.737,0.585,1000,600,209.149,0.36,0.058
