,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.135,0.881,0.857,0.918,60,0.203,0.179,314.843
1,0.151,0.895,0.84,0.962,80,0.193,0.179,323.228
2,0.109,0.916,0.899,0.935,100,0.182,0.18,324.851
3,0.086,0.935,0.91,0.965,120,0.183,0.18,326.604
4,0.106,0.922,0.878,0.973,140,0.197,0.179,330.387
5,0.087,0.93,0.897,0.97,160,0.194,0.179,328.117
6,0.09,0.941,0.907,0.98,180,0.196,0.179,330.639
7,0.087,0.935,0.901,0.975,200,0.194,0.179,329.014
8,0.089,0.945,0.923,0.969,240,0.188,0.179,336.497
9,0.094,0.949,0.923,0.976,280,0.184,0.179,335.706
10,0.066,0.959,0.943,0.977,320,0.184,0.179,333.899
11,0.078,0.96,0.948,0.974,360,0.182,0.179,348.614
12,0.062,0.964,0.948,0.981,400,0.178,0.18,344.756
13,0.066,0.965,0.959,0.971,440,0.181,0.18,340.991
14,0.043,0.976,0.982,0.97,480,0.183,0.179,351.611
15,0.056,0.967,0.958,0.977,520,0.183,0.179,347.95
16,0.042,0.978,0.978,0.978,560,0.186,0.179,352.464
17,0.05,0.971,0.97,0.972,600,0.186,0.179,357.138
18,0.044,0.973,0.978,0.968,640,0.188,0.179,356.35
19,0.035,0.979,0.98,0.978,680,0.187,0.179,357.733
20,0.042,0.976,0.973,0.979,720,0.19,0.178,360.897
21,0.043,0.975,0.978,0.973,760,0.189,0.179,365.186
22,0.045,0.973,0.969,0.977,800,0.188,0.179,375.771
23,0.036,0.979,0.972,0.985,840,0.186,0.179,372.047
24,0.038,0.975,0.969,0.981,880,0.185,0.179,376.655
25,0.043,0.976,0.975,0.977,920,0.184,0.179,390.037
26,0.035,0.976,0.968,0.984,960,0.185,0.179,378.752
27,0.036,0.979,0.982,0.977,1000,0.186,0.179,384.395
28,0.019,0.985,0.988,0.982,7417,0.18,0.18,803.977
