,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.108,0.931,0.892,0.976,200,235.968,0.194,0.179
1,0.04,0.974,0.973,0.975,240,268.12,0.221,0.178
2,0.036,0.979,0.971,0.987,280,267.969,0.257,0.177
3,0.026,0.984,0.983,0.985,320,274.125,0.28,0.175
4,0.022,0.986,0.985,0.987,360,280.491,0.306,0.173
5,0.022,0.985,0.981,0.989,400,279.475,0.322,0.171
6,0.019,0.988,0.991,0.984,440,284.219,0.339,0.17
7,0.018,0.989,0.987,0.991,480,290.155,0.356,0.167
8,0.017,0.988,0.987,0.988,520,291.875,0.366,0.166
9,0.02,0.987,0.988,0.986,560,293.34,0.375,0.164
10,0.018,0.988,0.987,0.989,600,294.376,0.382,0.162
11,0.019,0.988,0.989,0.987,640,303.787,0.39,0.16
12,0.016,0.989,0.99,0.988,680,300.531,0.397,0.158
13,0.017,0.989,0.99,0.989,720,303.985,0.403,0.156
14,0.019,0.988,0.988,0.987,760,305.904,0.408,0.154
15,0.017,0.989,0.988,0.989,800,313.832,0.412,0.151
16,0.015,0.988,0.987,0.989,840,315.739,0.417,0.149
17,0.019,0.988,0.989,0.986,880,318.741,0.421,0.147
18,0.018,0.988,0.987,0.989,920,326.033,0.425,0.145
19,0.016,0.989,0.99,0.988,960,324.572,0.427,0.143
20,0.017,0.988,0.99,0.987,1000,330.405,0.43,0.141
