,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.099,0.929,0.885,0.977,0.467,0.177,60,334.145
1,0.082,0.931,0.912,0.953,0.462,0.177,80,329.962
2,0.085,0.924,0.915,0.936,0.46,0.176,100,319.399
3,0.06,0.945,0.948,0.943,0.467,0.175,120,341.669
4,0.054,0.961,0.949,0.973,0.457,0.174,140,343.619
5,0.046,0.966,0.964,0.969,0.469,0.173,160,329.705
6,0.079,0.942,0.952,0.934,0.478,0.172,180,335.684
7,0.049,0.967,0.963,0.971,0.49,0.171,200,346.436
8,0.055,0.962,0.946,0.98,0.483,0.169,240,336.785
9,0.061,0.964,0.955,0.974,0.479,0.168,280,331.671
10,0.05,0.962,0.956,0.967,0.481,0.166,320,355.326
11,0.044,0.974,0.964,0.983,0.464,0.165,360,352.751
12,0.043,0.976,0.967,0.985,0.465,0.163,400,344.735
13,0.022,0.986,0.988,0.983,0.464,0.162,440,367.643
14,0.024,0.985,0.986,0.984,0.458,0.16,480,363.012
15,0.021,0.988,0.991,0.986,0.458,0.159,520,343.664
16,0.022,0.988,0.99,0.986,0.461,0.157,560,374.453
17,0.023,0.983,0.979,0.986,0.463,0.155,600,371.684
18,0.024,0.981,0.973,0.99,0.461,0.153,640,356.601
19,0.018,0.983,0.978,0.988,0.462,0.151,680,384.225
20,0.025,0.981,0.974,0.988,0.464,0.149,720,360.979
21,0.018,0.984,0.983,0.984,0.463,0.147,760,375.476
22,0.016,0.985,0.983,0.987,0.464,0.145,800,379.929
23,0.017,0.986,0.983,0.989,0.463,0.143,840,388.597
24,0.019,0.981,0.972,0.99,0.461,0.142,880,378.867
25,0.017,0.983,0.976,0.991,0.463,0.139,920,384.753
26,0.017,0.982,0.973,0.991,0.461,0.138,960,404.233
27,0.019,0.984,0.981,0.987,0.459,0.136,1000,386.587
