,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.106,0.941,0.926,0.958,200,266.004,0.225,0.178
1,0.041,0.974,0.977,0.972,240,301.776,0.242,0.177
2,0.029,0.982,0.979,0.984,280,309.619,0.288,0.175
3,0.025,0.983,0.986,0.98,320,316.689,0.315,0.173
4,0.019,0.989,0.99,0.987,360,312.566,0.347,0.171
5,0.018,0.988,0.989,0.986,400,316.43,0.364,0.169
6,0.02,0.987,0.984,0.99,440,327.614,0.378,0.167
7,0.018,0.988,0.989,0.987,480,325.578,0.392,0.165
8,0.018,0.988,0.989,0.986,520,327.228,0.4,0.163
9,0.017,0.989,0.99,0.988,560,327.599,0.407,0.161
10,0.016,0.987,0.987,0.987,600,337.3,0.413,0.159
11,0.017,0.987,0.986,0.989,640,335.407,0.418,0.157
12,0.016,0.989,0.987,0.99,680,338.327,0.423,0.155
13,0.019,0.988,0.989,0.987,720,340.861,0.428,0.153
14,0.017,0.989,0.99,0.989,760,338.851,0.432,0.151
15,0.016,0.989,0.989,0.989,800,342.977,0.436,0.149
16,0.016,0.989,0.99,0.989,840,344.682,0.439,0.146
17,0.017,0.988,0.987,0.989,880,345.052,0.441,0.144
18,0.016,0.987,0.988,0.986,920,351.401,0.443,0.142
19,0.019,0.989,0.99,0.989,960,356.653,0.446,0.14
20,0.016,0.989,0.988,0.989,1000,353.04,0.448,0.138
