,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.102,0.941,0.911,0.975,200,200,314.496,0.194,0.179
1,0.068,0.958,0.933,0.984,240,220,342.008,0.232,0.178
2,0.047,0.971,0.961,0.982,280,240,348.046,0.253,0.177
3,0.033,0.98,0.974,0.986,320,260,364.088,0.286,0.175
4,0.023,0.985,0.985,0.986,360,280,357.957,0.308,0.173
5,0.018,0.987,0.991,0.984,400,300,359.307,0.326,0.171
6,0.023,0.986,0.985,0.986,440,320,353.09,0.347,0.169
7,0.018,0.989,0.992,0.986,480,340,381.69,0.353,0.168
8,0.016,0.99,0.993,0.987,520,360,369.458,0.367,0.165
9,0.017,0.988,0.99,0.987,560,380,359.12,0.379,0.163
10,0.015,0.99,0.991,0.988,600,400,376.264,0.386,0.161
11,0.014,0.991,0.991,0.991,640,420,382.98,0.394,0.159
12,0.013,0.989,0.991,0.986,680,440,370.64,0.401,0.157
13,0.013,0.99,0.991,0.988,720,460,394.316,0.408,0.155
14,0.013,0.992,0.993,0.991,760,480,390.389,0.413,0.153
15,0.014,0.989,0.99,0.987,800,500,392.709,0.417,0.151
16,0.014,0.99,0.991,0.989,840,520,391.011,0.422,0.149
17,0.014,0.989,0.989,0.988,880,540,384.075,0.425,0.146
18,0.014,0.989,0.99,0.989,920,560,400.199,0.429,0.144
19,0.016,0.989,0.989,0.988,960,580,399.728,0.432,0.142
20,0.015,0.99,0.991,0.988,1000,600,410.297,0.435,0.14
