,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.204,0.523,0.503,0.544,60,0.21,0.186,454.143
1,0.203,0.696,0.703,0.695,80,0.2,0.186,449.657
2,0.223,0.831,0.872,0.827,100,0.19,0.186,442.329
3,0.17,0.88,0.844,0.927,120,0.2,0.186,454.829
4,0.146,0.89,0.887,0.898,140,0.191,0.186,464.771
5,0.156,0.893,0.881,0.91,160,0.189,0.186,458.242
6,0.145,0.892,0.894,0.897,180,0.187,0.186,456.68
7,0.137,0.91,0.874,0.95,200,0.182,0.186,449.654
8,0.127,0.91,0.906,0.915,240,0.185,0.186,453.576
9,0.154,0.911,0.893,0.932,280,0.184,0.186,471.605
10,0.131,0.918,0.893,0.944,320,0.187,0.186,472.145
11,0.136,0.918,0.9,0.937,360,0.187,0.186,478.706
12,0.129,0.921,0.896,0.948,400,0.186,0.186,473.896
13,0.127,0.922,0.921,0.925,440,0.188,0.186,466.142
14,0.139,0.922,0.909,0.937,480,0.188,0.186,472.831
15,0.119,0.928,0.919,0.937,520,0.189,0.186,475.643
16,0.136,0.925,0.922,0.928,560,0.19,0.186,482.536
17,0.122,0.931,0.923,0.941,600,0.19,0.186,483.05
18,0.125,0.93,0.921,0.939,640,0.191,0.186,492.999
19,0.115,0.931,0.928,0.935,680,0.189,0.186,500.074
20,0.125,0.93,0.919,0.942,720,0.186,0.186,498.613
21,0.129,0.932,0.927,0.938,760,0.187,0.186,497.42
22,0.125,0.933,0.932,0.935,800,0.186,0.186,498.963
23,0.125,0.926,0.935,0.918,840,0.188,0.186,502.43
24,0.125,0.928,0.933,0.924,880,0.188,0.186,505.931
25,0.12,0.929,0.933,0.926,920,0.189,0.186,511.726
26,0.121,0.936,0.935,0.936,960,0.189,0.186,508.001
27,0.13,0.929,0.932,0.927,1000,0.19,0.186,512.848
28,0.107,0.956,0.949,0.964,17223,0.186,0.186,1534.595
