,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.134,0.911,0.901,0.924,200,364.286,0.182,0.186
1,0.151,0.901,0.896,0.91,240,426.419,0.228,0.186
2,0.123,0.919,0.901,0.939,280,426.145,0.265,0.185
3,0.122,0.923,0.915,0.932,320,424.521,0.29,0.184
4,0.138,0.925,0.927,0.925,360,423.942,0.307,0.184
5,0.115,0.931,0.927,0.935,400,430.561,0.327,0.183
6,0.115,0.929,0.933,0.925,440,431.112,0.345,0.182
7,0.112,0.932,0.925,0.94,480,429.426,0.361,0.181
8,0.108,0.933,0.934,0.933,520,436.016,0.37,0.18
9,0.111,0.934,0.929,0.939,560,437.238,0.378,0.18
10,0.11,0.936,0.931,0.943,600,437.719,0.383,0.179
11,0.124,0.934,0.928,0.94,640,438.559,0.391,0.178
12,0.101,0.943,0.941,0.945,680,442.763,0.395,0.178
13,0.108,0.941,0.939,0.943,720,444.722,0.4,0.177
14,0.107,0.941,0.935,0.946,760,450.508,0.403,0.176
15,0.106,0.942,0.938,0.946,800,451.076,0.408,0.175
16,0.107,0.943,0.94,0.946,840,459.507,0.412,0.175
17,0.103,0.942,0.939,0.946,880,461.578,0.417,0.174
18,0.1,0.945,0.944,0.946,920,465.876,0.419,0.173
19,0.099,0.948,0.943,0.953,960,462.044,0.422,0.172
20,0.097,0.947,0.952,0.942,1000,464.865,0.424,0.172
