,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.128,0.889,0.87,0.91,0.417,0.185,60,442.436
1,0.149,0.879,0.841,0.924,0.438,0.185,80,440.739
2,0.115,0.904,0.891,0.918,0.46,0.185,100,439.011
3,0.118,0.901,0.891,0.911,0.475,0.184,120,445.366
4,0.142,0.903,0.883,0.928,0.479,0.184,140,441.046
5,0.13,0.9,0.886,0.915,0.481,0.183,160,442.175
6,0.15,0.904,0.89,0.92,0.472,0.183,180,441.898
7,0.152,0.906,0.874,0.941,0.485,0.183,200,443.009
8,0.119,0.915,0.908,0.923,0.492,0.182,240,450.038
9,0.133,0.92,0.908,0.934,0.504,0.181,280,448.788
10,0.135,0.916,0.91,0.923,0.506,0.18,320,456.062
11,0.12,0.923,0.907,0.941,0.511,0.179,360,478.131
12,0.147,0.916,0.924,0.909,0.507,0.179,400,483.034
13,0.129,0.922,0.918,0.926,0.5,0.178,440,480.82
14,0.124,0.927,0.923,0.932,0.498,0.177,480,469.043
15,0.129,0.926,0.92,0.934,0.487,0.177,520,481.161
16,0.123,0.927,0.928,0.926,0.486,0.176,560,477.749
17,0.12,0.927,0.931,0.924,0.49,0.175,600,483.046
18,0.114,0.935,0.937,0.933,0.484,0.175,640,491.19
19,0.128,0.927,0.93,0.925,0.487,0.174,680,478.916
20,0.137,0.928,0.927,0.929,0.492,0.173,720,496.994
21,0.124,0.934,0.935,0.934,0.487,0.172,760,500.091
22,0.123,0.931,0.928,0.934,0.488,0.172,800,498.655
23,0.129,0.933,0.933,0.933,0.488,0.171,840,494.904
24,0.126,0.932,0.938,0.927,0.49,0.17,880,511.218
25,0.132,0.933,0.942,0.924,0.49,0.169,920,514.542
26,0.125,0.932,0.941,0.924,0.489,0.168,960,515.823
27,0.122,0.935,0.938,0.932,0.491,0.167,1000,511.896
