,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.133,0.903,0.897,0.915,200,200,418.071,0.182,0.186
1,0.109,0.924,0.899,0.951,240,220,498.054,0.233,0.186
2,0.11,0.928,0.917,0.941,280,240,501.737,0.261,0.185
3,0.102,0.929,0.922,0.938,320,260,501.876,0.288,0.184
4,0.112,0.926,0.943,0.91,360,280,514.879,0.307,0.184
5,0.106,0.931,0.929,0.934,400,300,511.278,0.33,0.183
6,0.105,0.937,0.93,0.944,440,320,503.67,0.342,0.182
7,0.115,0.933,0.944,0.922,480,340,506.468,0.355,0.181
8,0.108,0.934,0.928,0.941,520,360,511.849,0.372,0.18
9,0.1,0.94,0.931,0.949,560,380,506.84,0.381,0.18
10,0.103,0.94,0.935,0.945,600,400,516.203,0.385,0.179
11,0.106,0.94,0.936,0.944,640,420,511.886,0.391,0.178
12,0.097,0.942,0.95,0.934,680,440,510.156,0.397,0.178
13,0.098,0.945,0.939,0.951,720,460,510.443,0.403,0.177
14,0.108,0.939,0.929,0.951,760,480,526.722,0.408,0.176
15,0.097,0.945,0.941,0.95,800,500,532.203,0.409,0.175
16,0.102,0.945,0.939,0.95,840,520,524.319,0.413,0.175
17,0.097,0.945,0.943,0.947,880,540,521.824,0.416,0.174
18,0.096,0.946,0.94,0.951,920,560,525.168,0.421,0.173
19,0.095,0.948,0.94,0.956,960,580,544.526,0.425,0.172
20,0.098,0.946,0.948,0.943,1000,600,552.3,0.425,0.171
