,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.339,0.0,0.0,0.0,60,0.063,0.094,374.871
1,0.359,0.0,0.0,0.0,80,0.07,0.094,384.191
2,0.378,0.005,0.017,0.003,100,0.07,0.094,382.895
3,0.384,0.017,0.049,0.01,120,0.075,0.094,380.471
4,0.388,0.127,0.352,0.081,140,0.073,0.094,387.422
5,0.407,0.095,0.223,0.062,160,0.072,0.094,384.259
6,0.343,0.078,0.206,0.05,180,0.072,0.094,391.367
7,0.45,0.1,0.386,0.062,200,0.076,0.094,392.389
8,0.428,0.143,0.254,0.104,240,0.081,0.094,396.759
9,0.411,0.327,0.573,0.242,280,0.081,0.094,404.213
10,0.441,0.289,0.476,0.229,320,0.076,0.095,406.554
11,0.38,0.258,0.468,0.19,360,0.077,0.095,411.882
12,0.415,0.198,0.339,0.175,400,0.078,0.095,418.913
13,0.307,0.523,0.652,0.46,440,0.078,0.095,415.284
14,0.289,0.515,0.682,0.439,480,0.081,0.095,417.707
15,0.349,0.36,0.515,0.286,520,0.081,0.095,419.225
16,0.349,0.321,0.444,0.264,560,0.08,0.095,416.616
17,0.338,0.579,0.675,0.512,600,0.082,0.095,424.088
18,0.321,0.556,0.691,0.483,640,0.084,0.095,422.269
19,0.299,0.605,0.729,0.532,680,0.084,0.095,425.726
20,0.307,0.559,0.633,0.516,720,0.085,0.095,437.238
21,0.244,0.683,0.729,0.648,760,0.085,0.095,438.475
22,0.287,0.602,0.646,0.574,800,0.086,0.095,438.859
23,0.284,0.587,0.703,0.523,840,0.088,0.095,441.085
24,0.214,0.725,0.81,0.665,880,0.087,0.095,448.548
25,0.199,0.784,0.827,0.747,920,0.089,0.095,450.003
26,0.206,0.764,0.822,0.714,960,0.088,0.095,450.555
27,0.228,0.597,0.628,0.57,1000,0.087,0.095,459.508
28,0.165,0.856,0.885,0.83,6144,0.094,0.094,785.119
