,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.4,0.213,0.41,0.145,200,273.625,0.076,0.094
1,0.351,0.318,0.346,0.31,236,299.274,0.118,0.093
2,0.328,0.434,0.612,0.359,272,303.189,0.144,0.091
3,0.267,0.547,0.749,0.49,312,302.848,0.188,0.089
4,0.252,0.629,0.721,0.574,352,302.763,0.223,0.086
5,0.196,0.747,0.775,0.723,392,311.44,0.248,0.083
6,0.192,0.755,0.756,0.758,432,309.985,0.265,0.081
7,0.198,0.746,0.73,0.769,472,314.382,0.277,0.078
8,0.172,0.788,0.806,0.772,512,315.196,0.283,0.077
9,0.179,0.8,0.799,0.803,552,317.753,0.298,0.074
10,0.161,0.815,0.832,0.801,592,328.128,0.308,0.071
11,0.159,0.814,0.823,0.807,632,323.64,0.32,0.068
12,0.154,0.817,0.819,0.817,672,318.995,0.326,0.065
13,0.162,0.808,0.831,0.788,712,330.429,0.333,0.062
14,0.18,0.774,0.729,0.841,752,334.049,0.343,0.059
15,0.157,0.827,0.841,0.815,792,326.217,0.343,0.057
16,0.159,0.833,0.831,0.836,832,336.181,0.347,0.054
17,0.138,0.839,0.852,0.828,872,339.316,0.35,0.051
18,0.141,0.845,0.889,0.805,912,337.564,0.354,0.048
19,0.144,0.856,0.894,0.821,952,345.355,0.359,0.045
20,0.147,0.847,0.857,0.837,992,346.923,0.364,0.042
