,test_loss,test_f1,test_prec,test_recall,train_positive_rate,pool_positive_rate,labeled_instances,iteration_time
0,0.346,0.37,0.322,0.478,0.417,0.091,60,355.077
1,0.354,0.364,0.367,0.43,0.438,0.089,80,346.479
2,0.356,0.441,0.398,0.523,0.46,0.088,100,343.532
3,0.431,0.461,0.345,0.708,0.475,0.086,120,355.655
4,0.327,0.504,0.433,0.609,0.457,0.085,140,347.451
5,0.325,0.523,0.488,0.607,0.456,0.084,160,346.495
6,0.358,0.506,0.484,0.564,0.456,0.083,180,361.535
7,0.351,0.542,0.484,0.633,0.455,0.082,200,349.389
8,0.308,0.605,0.565,0.661,0.467,0.079,240,352.356
9,0.307,0.626,0.57,0.711,0.468,0.076,280,367.486
10,0.274,0.65,0.587,0.735,0.469,0.073,320,368.073
11,0.329,0.644,0.572,0.765,0.481,0.07,360,362.529
12,0.315,0.662,0.569,0.793,0.488,0.066,400,386.757
13,0.279,0.694,0.582,0.865,0.5,0.062,440,377.5
14,0.22,0.757,0.676,0.867,0.504,0.059,480,382.944
15,0.27,0.729,0.613,0.903,0.512,0.055,520,387.661
16,0.297,0.703,0.577,0.903,0.516,0.051,560,377.075
17,0.262,0.732,0.62,0.895,0.518,0.048,600,388.24
18,0.256,0.732,0.619,0.897,0.517,0.045,640,402.738
19,0.242,0.749,0.641,0.908,0.518,0.041,680,390.978
20,0.271,0.731,0.618,0.898,0.522,0.037,720,398.523
21,0.246,0.753,0.66,0.882,0.522,0.033,760,389.788
22,0.253,0.732,0.628,0.88,0.519,0.03,800,412.66
23,0.211,0.78,0.697,0.888,0.495,0.03,840,421.652
24,0.219,0.758,0.662,0.889,0.477,0.03,880,414.753
25,0.204,0.762,0.671,0.884,0.463,0.029,920,396.255
26,0.266,0.648,0.602,0.702,0.452,0.027,960,428.941
27,0.184,0.806,0.745,0.879,0.439,0.027,1000,406.116
