,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.332,0.503,0.557,0.495,200,288.251,0.115,0.093
1,0.269,0.382,0.463,0.355,240,319.166,0.151,0.091
2,0.255,0.514,0.551,0.486,276,321.968,0.186,0.089
3,0.19,0.729,0.706,0.754,312,320.234,0.212,0.087
4,0.201,0.715,0.666,0.776,352,321.163,0.227,0.086
5,0.205,0.722,0.679,0.787,392,326.744,0.228,0.085
6,0.18,0.73,0.733,0.731,432,327.91,0.235,0.083
7,0.242,0.496,0.498,0.496,472,328.464,0.251,0.081
8,0.196,0.609,0.781,0.636,508,332.589,0.26,0.079
9,0.159,0.793,0.787,0.8,548,330.735,0.27,0.077
10,0.143,0.784,0.799,0.77,588,335.042,0.274,0.075
11,0.151,0.793,0.782,0.809,628,339.599,0.28,0.073
12,0.151,0.798,0.773,0.838,668,339.692,0.283,0.071
13,0.127,0.845,0.844,0.847,708,343.803,0.289,0.068
14,0.147,0.808,0.782,0.842,748,341.92,0.294,0.066
15,0.192,0.681,0.69,0.672,788,342.823,0.291,0.065
16,0.189,0.672,0.658,0.686,824,353.104,0.294,0.063
17,0.18,0.652,0.624,0.685,860,351.071,0.297,0.061
18,0.124,0.852,0.851,0.854,896,351.244,0.298,0.059
19,0.19,0.675,0.664,0.686,936,348.68,0.3,0.057
20,0.321,0.348,0.354,0.343,972,363.364,0.299,0.055
