,test_loss,test_f1,test_prec,test_recall,labeled_instances,orakle_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.39,0.212,0.396,0.149,200,200,336.057,0.076,0.094
1,0.308,0.426,0.575,0.359,236,218,359.898,0.108,0.093
2,0.313,0.52,0.576,0.494,276,238,361.838,0.147,0.091
3,0.297,0.53,0.684,0.474,316,258,368.2,0.178,0.089
4,0.236,0.655,0.764,0.595,356,278,377.136,0.211,0.086
5,0.209,0.727,0.803,0.685,396,298,360.977,0.237,0.084
6,0.164,0.795,0.808,0.785,436,318,369.595,0.266,0.081
7,0.179,0.76,0.799,0.733,476,338,377.279,0.282,0.078
8,0.183,0.794,0.818,0.787,516,358,372.185,0.298,0.075
9,0.167,0.796,0.812,0.781,556,378,375.81,0.31,0.072
10,0.169,0.809,0.815,0.805,596,398,378.942,0.317,0.07
11,0.162,0.809,0.827,0.794,636,418,382.264,0.325,0.067
12,0.144,0.834,0.857,0.816,676,438,407.935,0.333,0.064
13,0.154,0.825,0.852,0.801,716,458,376.022,0.342,0.061
14,0.162,0.819,0.824,0.815,756,478,394.368,0.346,0.058
15,0.156,0.826,0.838,0.817,796,498,382.498,0.351,0.055
16,0.158,0.834,0.854,0.816,836,518,402.166,0.356,0.052
17,0.139,0.844,0.856,0.833,876,538,400.23,0.357,0.05
18,0.14,0.86,0.884,0.837,916,558,398.364,0.359,0.047
19,0.133,0.861,0.883,0.84,956,578,408.499,0.362,0.044
20,0.137,0.849,0.862,0.837,996,598,383.433,0.366,0.041
