,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.418,0.13,0.158,0.111,60,0.19,0.255,384.994
1,0.281,0.346,0.36,0.333,80,0.202,0.256,384.516
2,0.182,0.911,0.941,0.889,100,0.224,0.252,384.375
3,0.143,0.911,0.922,0.904,120,0.235,0.248,385.954
4,0.138,0.918,0.926,0.911,140,0.244,0.242,385.814
5,0.136,0.934,0.984,0.889,160,0.25,0.236,391.827
6,0.168,0.923,0.916,0.933,180,0.25,0.234,391.434
7,0.132,0.94,0.948,0.933,200,0.254,0.225,393.188
8,0.171,0.926,0.935,0.919,240,0.257,0.2,408.561
9,0.118,0.944,0.95,0.941,280,0.254,0.166,402.802
10,0.085,0.952,0.949,0.956,320,0.243,0.2,404.905
