,test_loss,test_f1,test_prec,test_recall,labeled_instances,train_positive_rate,pool_positive_rate,iteration_time
0,0.353,0.0,0.0,0.0,60,0.12,0.107,452.321
1,0.35,0.0,0.0,0.0,80,0.11,0.107,463.51
2,0.38,0.034,0.137,0.019,100,0.106,0.107,458.008
3,0.38,0.158,0.277,0.112,120,0.103,0.107,463.085
4,0.397,0.162,0.345,0.133,140,0.107,0.107,459.259
5,0.356,0.235,0.354,0.187,160,0.109,0.107,464.168
6,0.366,0.228,0.416,0.163,180,0.108,0.107,469.866
7,0.346,0.375,0.491,0.328,200,0.107,0.107,476.599
8,0.418,0.254,0.438,0.187,240,0.105,0.107,481.518
9,0.279,0.601,0.672,0.554,280,0.104,0.107,485.175
10,0.302,0.55,0.705,0.469,320,0.105,0.107,496.216
11,0.285,0.565,0.713,0.479,360,0.107,0.107,491.751
12,0.325,0.517,0.649,0.431,400,0.106,0.107,493.212
13,0.228,0.636,0.671,0.613,440,0.106,0.107,499.069
14,0.236,0.715,0.8,0.652,480,0.104,0.108,496.719
15,0.205,0.718,0.775,0.676,520,0.104,0.108,498.642
16,0.209,0.767,0.847,0.708,560,0.107,0.107,498.782
17,0.202,0.769,0.837,0.715,600,0.108,0.107,512.535
18,0.214,0.754,0.809,0.711,640,0.108,0.107,512.65
19,0.223,0.638,0.69,0.596,680,0.108,0.107,523.454
20,0.2,0.795,0.841,0.754,720,0.108,0.107,524.097
21,0.19,0.781,0.799,0.765,760,0.107,0.107,531.137
22,0.196,0.789,0.839,0.749,800,0.107,0.107,530.954
23,0.225,0.767,0.843,0.707,840,0.107,0.107,539.196
24,0.181,0.791,0.819,0.769,880,0.108,0.107,538.107
25,0.186,0.808,0.832,0.786,920,0.108,0.107,539.174
26,0.227,0.678,0.747,0.645,960,0.108,0.107,548.228
27,0.166,0.816,0.858,0.78,1000,0.108,0.107,550.598
28,0.122,0.899,0.921,0.879,5743,0.107,0.107,950.172
