,test_loss,test_f1,test_prec,test_recall,labeled_instances,iteration_time,train_positive_rate,pool_positive_rate
0,0.359,0.373,0.599,0.304,200,311.843,0.107,0.107
1,0.326,0.531,0.633,0.473,240,354.544,0.161,0.105
2,0.29,0.619,0.775,0.521,280,356.198,0.195,0.103
3,0.238,0.707,0.822,0.627,320,354.29,0.238,0.1
4,0.187,0.792,0.831,0.767,360,355.089,0.268,0.097
5,0.178,0.788,0.846,0.742,400,360.793,0.292,0.093
6,0.177,0.815,0.863,0.777,440,364.492,0.311,0.09
7,0.171,0.823,0.865,0.793,480,369.66,0.325,0.087
8,0.143,0.851,0.894,0.813,520,370.882,0.337,0.084
9,0.152,0.842,0.891,0.8,560,372.804,0.35,0.081
10,0.142,0.856,0.889,0.826,600,380.599,0.362,0.078
11,0.144,0.855,0.901,0.816,640,381.096,0.368,0.075
12,0.138,0.861,0.895,0.832,680,381.27,0.374,0.071
13,0.126,0.862,0.892,0.836,720,388.23,0.38,0.068
14,0.123,0.88,0.913,0.85,760,389.19,0.384,0.065
15,0.109,0.881,0.899,0.864,800,396.561,0.389,0.062
16,0.101,0.891,0.918,0.866,840,392.766,0.393,0.058
17,0.113,0.884,0.916,0.855,880,401.673,0.396,0.055
18,0.111,0.894,0.909,0.88,920,405.923,0.4,0.052
19,0.108,0.882,0.878,0.887,960,401.868,0.4,0.048
20,0.115,0.883,0.896,0.87,1000,409.272,0.398,0.046
